emotion,layer,coeff,prompt_id,target_score,answer
anger,13,0.0,0,0.0206,"Yeah, I was learning to drive with my friend's dad. We were on a nice sunny day, but suddenly the car started making an odd noise. It turned out to be a loose bolt in the engine that we couldn't find. We had to pull over and he helped me figure out how to check under the hood. It was a bit scary, but also educational."
anger,13,0.0,1,0.0276,"Yeah, I was at the club last night, but my friend still thinks I was somewhere else. They saw me at a different place the day before and won't buy my story. It's like they're reading my mind or something!"
anger,13,0.0,2,0.0204,"I had a tough talk with my boyfriend about how he sometimes dismisses my feelings and doesn't listen properly. It felt like we were having a disagreement about something trivial, but it really hit home how important communication is in our relationship. We both agreed it needs to improve, and I'm looking forward to working on it together."
anger,13,0.0,3,0.0046,"My boyfriend often surprises me with how much he can handle and do, but lately, I've been feeling like my expectations might be too high. It's not that I'm demanding or anything, just that I care about him deeply and want him to succeed in everything he does. It's a bit overwhelming sometimes, but I know we'll figure it out together."
anger,13,0.0,4,0.0355,"When the teacher singled me out for being the quietest person in the room, it felt like a spotlight was suddenly turned on me. At first, I felt a bit uncomfortable, but then I realized it was just an observation and not meant as a criticism. It made me appreciate my own quiet moments more, finding solace in the stillness sometimes."
anger,13,0.0,5,0.0091,"I was lounging on the couch, flipping through channels, when my phone buzzed with an unexpected call. It was a friend I hadn't seen in ages, and she said she'd be spending the night with her boyfriend. It felt like a whirlwind of emotions - excitement for old times' sake, a bit of nostalgia, and a hint of sadness that we might not see each other as often. I agreed to stay over, grateful for the chance to catch up."
anger,13,0.0,6,0.8208,"Yeah, happened to me once. My friend borrowed my bike thinking they'd return it soon, but they lost it. I had to get a new one, and it was a hassle. Ended up being pretty frustrating."
anger,13,0.0,7,0.2906,"Yeah, that did happen. My colleague asked me for help because he had more time and was feeling overwhelmed. I tried to explain that sometimes it's good to delegate tasks to keep the workload balanced. He appreciated the advice but still wanted me to assist him. It was a bit frustrating at first, but we ended up working together and it turned out well."
anger,13,0.0,8,0.0103,"I was so excited about finding a place to live for the fall, but then my parents got involved. They had their own ideas about where I should stay and how much they would help financially. It's been a bit of a mess trying to navigate their expectations and mine."
anger,13,0.0,9,0.0255,I was heading to class when I noticed my locker was open and empty. Panic set in as I realized someone had been inside. It felt like a violation of my personal space and belongings.
anger,13,0.0,10,0.9774,"Yeah, it's frustrating when I say something and everyone just looks at me like I'm from another planet. It's like they can't wrap their heads around what I'm saying sometimes."
anger,13,0.0,11,0.0064,"It's been a bit surreal. My mother-in-law decided to sleep in my bed last night without asking, and I woke up to find her there. It felt like a mix of comfort and discomfort, but ultimately, I'm grateful for the connection."
anger,13,0.0,12,0.1853,"I walk into my hostel room to find a mess—newspapers scattered everywhere, clothes thrown haphazardly on the floor, and my roommate's dirty laundry piled up next to the bed. He's asking me to wash his clothes and has even eaten the food we were sharing. It's a bit of a wake-up call after a lazy morning."
anger,13,0.0,13,0.0692,"Oh no, hearing I wasn't selected for university was tough. It felt like a big disappointment at first, but now I'm trying to see it as an opportunity to explore other paths and find what really excites me. Maybe I'll take some time off to travel or volunteer before deciding on my next move."
anger,13,0.0,14,0.0203,"It was strange, but I understood. Sometimes people have their reasons, even when they don't say them out loud. I gave them space and time to figure things out on their own."
anger,13,0.0,15,0.0971,"It was during one of my lectures when the sudden shift in the lecturer's demeanor made me feel uncomfortable. The atmosphere changed abruptly, and I found myself facing a confrontation that felt more like an attack on my teaching methods. It was a challenging moment, but I knew I had to remain calm and professional."
