steer,layer,coeff,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,,0.0,0,0.0146,0.0038,0.1794,0.0915,0.0765,0.0923,0.2202,"I was driving for the first time, and everything seemed so straightforward until I reached a curve. I tried to anticipate the turn, but my hands fumbled on the wheel, causing the car to veer off to the side. I felt a mix of panic and embarrassment as I struggled to regain control, realizing I might have made a wrong turn. Thankfully, the instructor was there, guiding me through the process and reassuring me that it was all part of the learning curve."
baseline,,0.0,1,0.0087,0.0019,0.0136,0.0006,0.6093,0.0107,0.0017,"I was super excited to head to the club tonight, but my friend thought I'd gone to a totally different event the day before. I tried to explain, but it was tough convincing them I wasn't just a mix-up. I guess I'll just have to show them the invite or something."
baseline,,0.0,2,0.0635,0.004,0.0068,0.0092,0.0044,0.9765,0.0032,"I've been feeling really hurt lately because my boyfriend hasn't been checking up on me as much as he used to. It's like he's been going through the motions without really caring about my feelings. I've tried talking to him about it, but he brushes it off, saying he's busy with work. I just feel like he doesn't value our relationship enough."
baseline,,0.0,3,0.0778,0.0038,0.0235,0.0093,0.0098,0.7206,0.0089,"I've always had high expectations of my boyfriend, assuming he'd be perfect and never disappoint me. But lately, I've been feeling a bit let down when things don't go as planned. It's like I'm holding onto a dream that's slipping away. I guess it's time to reevaluate what I truly want and need in a relationship."
baseline,,0.0,4,0.0098,0.0027,0.0072,0.0027,0.0489,0.0333,0.0108,"Oh, wow, that was a bit surprising. I've always been the kind of person who prefers to listen rather than speak up, so I never really thought about how quiet I was. The teacher's comment made me realize just how often I'm left out of the conversation. It's a bit humbling, really. I guess it's time to work on being more confident in sharing my thoughts."
baseline,,0.0,5,0.0047,0.0015,0.0068,0.0007,0.8786,0.0051,0.0012,"I was at home, lounging on the couch, when the doorbell rang. It was my friend, Sarah, with a big smile on her face. She said she was coming over to spend the night with her boyfriend, Mark. We all gathered around the living room, excited for the visit. Mark and Sarah exchanged warm hugs, and we all chatted about plans for the night. It was a cozy surprise, and I couldn't wait to see them."
baseline,,0.0,6,0.049,0.0041,0.0652,0.0065,0.1777,0.6826,0.0105,"I was walking home from work, enjoying the evening breeze, when suddenly a car came out of nowhere and slammed into the curb right in front of me. The impact was loud and jarring, and I felt a sharp pain in my side. The driver, clearly oblivious, didn't seem to notice me at all. I was left shaken, both physically and emotionally, by the abrupt and thoughtless act."
baseline,,0.0,7,0.0093,0.0011,0.0112,0.0058,0.0076,0.0468,0.006,"I felt a bit taken aback when my colleague asked for help. Honestly, I had managed the task more efficiently than he did, but I knew he had extra time. I hesitated for a moment, then decided to offer my assistance. It was a small gesture, but it showed that we're all here to support each other in our professional endeavors."
baseline,,0.0,8,0.0127,0.0027,0.0326,0.009,0.1717,0.841,0.005,"I was at the park the other day, enjoying a quiet afternoon with my kids, when I noticed a crowd gathering around a manhole. Curiosity got the better of me, and I went over to see what was happening. A woman, who I'll call Sarah, was visibly upset and distraught. She had just lost her baby, and she was disposing of the remains in the manhole. The sight was incredibly painful, and I could tell she was overwhelmed with grief. It was a stark reminder of the fragility of life and the importance of cherishing every moment."
baseline,,0.0,9,0.7215,0.01,0.0061,0.0013,0.0428,0.2747,0.0076,"I was trying to watch the news on the evening news, completely engrossed in the latest political developments, when my younger brother burst into the room. He was munching on some leftover pizza, completely oblivious to my concentration. It was a bit frustrating, but I couldn't help but chuckle at his carefree attitude. We both knew he was just having a snack, and I tried to snap back to my channel, hoping to catch the segment I was interested in."
