steer,layer,coeff,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,,0.0,0,0.0091,0.0022,0.1867,0.006,0.2033,0.0343,0.0082,"During my driving lesson, I hit a bump in the road and suddenly felt the car lurch forward. I braced myself, trying to keep control, but it was a bit too much. Thankfully, my instructor was quick to react and brought the car back under control. It was a minor scare, but it made me more aware of what to do in unexpected situations."
baseline,,0.0,1,0.0435,0.0018,0.004,0.001,0.0045,0.0386,0.004,"I told my friend I was going to a club tonight, but they doubted me because they'd seen me at a wedding last week. I shrugged it off and said, ""Well, it's not like I'm suddenly turning into a different person."" They just shook their head, still not convinced. I figured, why not just go?"
baseline,,0.0,2,0.0208,0.0027,0.0064,0.0062,0.0042,0.1187,0.0039,"He always thought he was the perfect boyfriend, but when I told him how I felt, he just didn't get it. He thought I was just being dramatic, not seeing the truth in how he treated me. It was hard to explain, but I knew I needed to set some boundaries. Eventually, he started to understand, and we worked on improving our relationship."
baseline,,0.0,3,0.0127,0.0021,0.0854,0.0549,0.0138,0.2451,0.0031,"My boyfriend says my expectations of him are too high, and I'm not sure how to feel about it. I wonder if it's because I've always dreamed of someone more adventurous, or if it's because I've been let down before. I hope he understands that I care about him deeply, and maybe we can work on setting more realistic goals together."
baseline,,0.0,4,0.0092,0.0013,0.0261,0.0086,1.036,0.0557,0.0033,"Oh, that's funny, right? I guess I've been too busy daydreaming about my next great lesson to talk much. I've been lost in my thoughts, and now I'm the quietest person in the room. But hey, it's okay! I'm just here to learn and grow, and maybe I'll find my voice in time."
baseline,,0.0,5,0.0084,0.0014,0.0106,0.0026,0.6522,0.0147,0.0014,"Oh, I'm glad she called! It's always a bit nerve-wracking to have her over, but it's also really nice to have her close. I'll make sure to tidy up a bit before she arrives. I love spending time with my boyfriend, and it's even better when she's here."
baseline,,0.0,6,0.0644,0.0045,0.0142,0.0121,0.0133,0.6155,0.0365,"When my friend forgot my birthday, it felt like a slap in the face. The surprise was gone, and I felt hurt and ignored. It wasn't just a small oversight; it was a betrayal of trust. I realized then how important it is to communicate and respect each other's feelings."
baseline,,0.0,7,0.0656,0.0011,0.0011,0.0012,0.0139,0.0217,0.0013,"My colleague asked for help with his work, even though he had more time than I did to finish it. It's not fair to ask for help when you have more time, especially when it's not needed. I told him that I'd be glad to help, but he should have done the work himself if he had more time. It's important to respect others' time and effort."
baseline,,0.0,8,0.0175,0.0036,0.117,0.0085,0.0094,0.109,0.0023,"I heard about it through a friend, and it felt like a nightmare. It's hard to imagine someone would do such a thing, especially someone you knew. It made me question our world, the choices people make, and the consequences of our actions. I hope they find peace, but it's a heavy thought to carry."
baseline,,0.0,9,0.7084,0.0139,0.0051,0.0025,0.0107,0.2773,0.008,"My brother barged in while I was trying to watch TV, munching on snacks from the kitchen. It was annoying because I couldn't focus on the show, and he didn't seem to understand that. I finally had to ask him to stop, hoping he'd get the message."
baseline,,0.0,10,0.1665,0.0149,0.5609,0.0024,0.007,0.0842,0.0037,"My friend told me about the assault she endured, and it felt like a punch to the heart. The fear and anger surged within me, and I felt powerless. I knew I had to support her, and I promised to be there for her every step of the way."
baseline,,0.0,11,0.0337,0.0144,0.0621,0.167,0.0547,0.0713,0.7336,"I felt a sudden chill and turned to see a man sitting beside me, his trousers hanging loosely, exposing himself. My face flushed with embarrassment, and I quickly glanced away, hoping he wouldn't notice my reaction. I couldn't shake the feeling of discomfort, wondering if he noticed my discomfort."
baseline,,0.0,12,0.038,0.0022,0.005,0.0024,0.0041,0.0783,0.0011,"My roommate was chatting away, but her bed-shaking was keeping me up. I tried to ignore it, but the noise was just too persistent. Eventually, I decided to ask her to stop, hoping it wouldn't become a nightly thing."
baseline,,0.0,13,0.1173,0.02,0.4821,0.0017,0.0204,0.1074,0.0276,"I was on a crowded bus in the city when suddenly, the bus driver announced an emergency. A group of passengers, including myself, rushed to help two suspicious individuals who had been picked up by the bus driver. We restrained them, and together, we escorted them out of the bus and into the street, where we beat them severely until the authorities arrived. It was a shocking and unsettling moment, and I felt a mix of anger and disbelief at the brutality of it all."
baseline,,0.0,14,0.0132,0.004,0.013,0.0094,0.0519,0.0264,0.0177,"I couldn't help but notice the loud recorder playing, so I scanned the room for a reason to excuse myself. I noticed a door nearby, and I thought maybe I could find a quiet spot outside. But then I realized I didn't want to disturb anyone else, so I quietly slipped out the door and found a quiet corner to sit in."
baseline,,0.0,15,0.3772,0.0072,0.0139,0.0035,0.3595,0.0461,0.0207,"Oh, no! A mosquito was buzzing near my elbow, and I swatted it away with a grimace. It was a tiny annoyance, but I was glad to get it out of my way."
baseline,,0.0,16,0.0088,0.002,0.1401,0.009,0.0082,0.0844,0.002,"My friend was driving way too fast, and I could see the danger ahead. I tried to warn him, but he didn't listen. The car swerved, and I held on tight, praying we wouldn't crash. It was a close call, but we managed to pull over safely."
baseline,,0.0,17,0.0185,0.0063,0.0422,0.0091,0.0741,0.0459,0.0386,"Oh no, a snake! I quickly stepped back, trying not to scare it. It slithered away, disappearing into the tall grass. I realized it was just a harmless garden snake and didn't need to run."
baseline,,0.0,18,0.0199,0.0041,0.0711,0.0195,0.0287,0.245,0.0243,"I sat up, feeling the cold air on my face, and realized I was alone. The silence was eerie, and I wondered if I should call out. Eventually, I decided to just listen, hoping someone might hear me. Eventually, I fell back asleep, but the thought of being alone in the dark stayed with me."
baseline,,0.0,19,0.0114,0.0018,0.0144,0.0008,0.092,0.0174,0.0035,"I walk in and everything's quiet, no one's around. The clock ticks on, evening falls, and I wonder where everyone's gone."
baseline,,0.0,20,0.016,0.0039,0.055,0.6219,0.0096,0.3674,0.0348,"When I threw the duster, it hit another child on the head and caused a small wound. I knew the teacher would find out, so I felt a mix of guilt and fear. I hoped she wouldn't punish me too harshly, but I also knew I had to face the consequences."
