steer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame
baseline,0,0.0,0.0,40.0,0.0,25.0,15.0,25.0
baseline,1,25.0,0.0,0.0,15.0,0.0,35.0,15.0
baseline,2,15.0,0.0,65.0,0.0,0.0,65.0,15.0
baseline,3,0.0,0.0,15.0,0.0,45.0,0.0,0.0
baseline,4,0.0,0.0,0.0,0.0,15.0,15.0,15.0
baseline,5,0.0,0.0,0.0,0.0,35.0,0.0,0.0
baseline,6,0.0,0.0,25.0,0.0,0.0,5.0,0.0
baseline,7,15.0,0.0,5.0,35.0,0.0,35.0,25.0
baseline,8,10.0,0.0,0.0,0.0,0.0,75.0,0.0
baseline,9,15.0,0.0,0.0,0.0,0.0,5.0,0.0
baseline,10,10.0,0.0,85.0,0.0,0.0,75.0,0.0
baseline,11,15.0,45.0,65.0,25.0,0.0,35.0,25.0
baseline,12,35.0,15.0,15.0,0.0,0.0,15.0,0.0
baseline,13,0.0,15.0,55.0,45.0,0.0,35.0,15.0
baseline,14,25.0,0.0,5.0,5.0,0.0,15.0,15.0
baseline,15,0.0,15.0,35.0,0.0,0.0,0.0,0.0
baseline,16,15.0,0.0,65.0,0.0,0.0,15.0,0.0
baseline,17,0.0,0.0,75.0,0.0,5.0,0.0,0.0
baseline,18,0.0,0.0,65.0,0.0,0.0,45.0,0.0
baseline,19,0.0,0.0,35.0,0.0,0.0,35.0,0.0
baseline,20,0.0,0.0,45.0,15.0,0.0,15.0,25.0
baseline,21,0.0,0.0,85.0,0.0,0.0,15.0,0.0
baseline,22,0.0,0.0,45.0,0.0,15.0,0.0,0.0
baseline,23,0.0,0.0,55.0,0.0,0.0,35.0,0.0
baseline,24,0.0,0.0,0.0,75.0,0.0,45.0,45.0
baseline,25,0.0,0.0,20.0,35.0,0.0,25.0,35.0
baseline,26,0.0,0.0,45.0,35.0,25.0,15.0,45.0
baseline,27,15.0,0.0,0.0,85.0,0.0,45.0,45.0
baseline,28,0.0,0.0,0.0,45.0,0.0,25.0,35.0
baseline,29,0.0,5.0,5.0,65.0,0.0,45.0,65.0
baseline,30,0.0,0.0,0.0,10.0,0.0,25.0,0.0
baseline,31,0.0,0.0,0.0,75.0,0.0,45.0,35.0
baseline,32,0.0,0.0,45.0,0.0,45.0,15.0,0.0
baseline,33,0.0,0.0,15.0,0.0,35.0,0.0,0.0
baseline,34,0.0,0.0,0.0,0.0,35.0,10.0,0.0
baseline,35,0.0,0.0,0.0,0.0,90.0,0.0,0.0
baseline,36,0.0,0.0,0.0,0.0,85.0,0.0,0.0
baseline,37,0.0,0.0,0.0,0.0,75.0,0.0,0.0
baseline,38,0.0,0.0,5.0,0.0,65.0,0.0,0.0
baseline,39,0.0,0.0,15.0,0.0,65.0,0.0,0.0
baseline,40,0.0,0.0,0.0,0.0,55.0,15.0,0.0
