steer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,0,0.0566,0.0039,0.0126,0.0198,0.0828,0.3704,0.0747,"During my driving lesson today, I was practicing parking in the narrow space between two cars. I thought I had it mastered, but as I gently nudged the car into position, I realized I had misjudged the distance. The front bumper grazed the wall, leaving a small scrape. I felt a wave of disappointment wash over me, but I quickly reminded myself that practice makes perfect. My instructor chuckled and said, ""Well, that's a learning experience. Don't worry, everyone starts somewhere."" I took a"
baseline,1,0.0355,0.0018,0.0034,0.0005,0.2325,0.017,0.0046,"I found myself at the club, the music pulsing around me, as usual. My friend, however, wasn't buying it. They had seen me at the café the day before, engrossed in a book. I couldn't help but chuckle at their skepticism. ""Trust me, I've got a good excuse,"" I assured them, trying to sound confident. They raised an eyebrow, but I could see the curiosity in their eyes. I knew I had to come up with a convincing story to"
baseline,2,0.0424,0.0029,0.007,0.0044,0.0061,0.3783,0.0026,"I recently had a heated discussion with my boyfriend about our dynamic in the relationship. I felt unheard and undervalued during our conversation, as he seemed more focused on defending his actions than understanding my perspective. I expressed my need for more open communication and empathy, but he struggled to acknowledge his shortcomings. It was a tough moment, but it also opened up a much-needed dialogue for us to grow together."
baseline,3,0.0127,0.0027,0.0072,0.2078,0.0381,0.1043,0.0169,"I remember the day my boyfriend gently mentioned how I often have high expectations for him. At first, I felt a pang of guilt, but then I realized he was right. I've always strived for the best in our relationship, which is a testament to my love and care. We had a heart-to-heart conversation, and he shared his own feelings of pressure. It was a mutual understanding that we both need to communicate our needs clearly and support each other without the burden of unrealistic standards. It made me appreciate our relationship even more,"
baseline,4,0.0094,0.0024,0.0062,0.005,0.0265,0.0166,0.0073,"I felt a bit of a jolt when my teacher mentioned my quiet nature in front of the class. I've always been more observant than vocal, preferring to listen and absorb information before speaking up. It's not that I'm shy or uninterested; I simply find comfort in observing and processing before engaging in discussions. My teacher's observation made me realize that my approach might be perceived as quietness rather than thoughtfulness. I decided to embrace the opportunity to be more open, not just in speaking, but in contributing ideas and sharing my insights"
baseline,5,0.0043,0.0009,0.093,0.0041,0.0146,0.0254,0.001,"I received a call from a friend, her voice trembling slightly. She announced that her girlfriend was coming over to spend the night. I could hear the apprehension in her words, wondering how her partner would react. I offered a comforting ""It's okay, everyone goes through phases,"" and assured her that I was there for whatever she needed. We hung up, and I spent the evening helping her prepare, trying to make her feel at ease. It was a quiet night, but I knew I was part of something significant for her, supporting her"
baseline,6,0.5992,0.006,0.0082,0.0029,0.0048,0.5184,0.0053,"I remember the day vividly. My colleague, who's usually reliable, made a critical error in the project report. It led to miscommunication with the client, causing a delay in our delivery. I felt frustrated and a bit let down, as the mistake could have been avoided with more attention to detail. It was a tough pill to swallow, knowing that our team's hard work was now at risk due to someone else's oversight. I addressed the issue with my colleague privately, emphasizing the importance of accuracy and the impact of"
baseline,7,0.0245,0.0016,0.0088,0.0015,0.0072,0.0227,0.004,"Hey there, I've had a similar situation recently. My colleague, let's call him Alex, approached me with his task still half-done, asking for a quick review. I was a bit taken aback since he had more time than I did. I politely explained my situation, emphasizing the importance of meeting our own deadlines. We ended up rescheduling, which was a bit of a hassle, but it ensured we both maintained our commitments and avoided any potential burnout. It's a delicate balance, isn't it?"
baseline,8,0.0197,0.0037,0.0688,0.008,0.0267,0.8126,0.0136,"I was shocked and saddened to hear about my friend's decision to terminate her late-stage pregnancy. It was a deeply personal choice, and I respected her privacy. The news came as a surprise, as she had been so excited about the impending arrival. When I learned about the disposal method, it left me feeling distressed. Disposing of medical waste in a manhole is not only dangerous but also disrespectful to the life that was once growing inside her. It was a stark reminder of the complexities and challenges"
baseline,9,0.0155,0.0027,0.0115,0.0014,0.1618,0.0555,0.0111,"I was engrossed in my favorite show, the suspense was building up, when suddenly my younger brother barged in, his eyes lighting up with excitement. He wasn't just any visitor; he was on a mission, rummaging through the kitchen cabinets. To my surprise, he started helping himself to the leftovers, oblivious to my concentration. The tension rose as I realized he'd ruined my viewing pleasure with his uninvited snacking. I couldn't help but wonder"
