emotion,layer,coeff,prompt_id,target_score,answer
anger,6,0.0,0,0.0091,"During my driving lesson, I hit a bump in the road and suddenly felt the car lurch forward. I braced myself, trying to keep control, but it was a bit too much. Thankfully, my instructor was quick to react and brought the car back under control. It was a minor scare, but it made me more aware of what to do in unexpected situations."
anger,6,0.0,1,0.0435,"I told my friend I was going to a club tonight, but they doubted me because they'd seen me at a wedding last week. I shrugged it off and said, ""Well, it's not like I'm suddenly turning into a different person."" They just shook their head, still not convinced. I figured, why not just go?"
anger,6,0.0,2,0.0208,"He always thought he was the perfect boyfriend, but when I told him how I felt, he just didn't get it. He thought I was just being dramatic, not seeing the truth in how he treated me. It was hard to explain, but I knew I needed to set some boundaries. Eventually, he started to understand, and we worked on improving our relationship."
anger,6,0.0,3,0.0127,"My boyfriend says my expectations of him are too high, and I'm not sure how to feel about it. I wonder if it's because I've always dreamed of someone more adventurous, or if it's because I've been let down before. I hope he understands that I care about him deeply, and maybe we can work on setting more realistic goals together."
anger,6,0.0,4,0.0092,"Oh, that's funny, right? I guess I've been too busy daydreaming about my next great lesson to talk much. I've been lost in my thoughts, and now I'm the quietest person in the room. But hey, it's okay! I'm just here to learn and grow, and maybe I'll find my voice in time."
anger,6,0.0,5,0.0084,"Oh, I'm glad she called! It's always a bit nerve-wracking to have her over, but it's also really nice to have her close. I'll make sure to tidy up a bit before she arrives. I love spending time with my boyfriend, and it's even better when she's here."
anger,6,0.0,6,0.0644,"When my friend forgot my birthday, it felt like a slap in the face. The surprise was gone, and I felt hurt and ignored. It wasn't just a small oversight; it was a betrayal of trust. I realized then how important it is to communicate and respect each other's feelings."
anger,6,0.0,7,0.0656,"My colleague asked for help with his work, even though he had more time than I did to finish it. It's not fair to ask for help when you have more time, especially when it's not needed. I told him that I'd be glad to help, but he should have done the work himself if he had more time. It's important to respect others' time and effort."
anger,6,0.0,8,0.01,"I'm really excited about this new place, but my parents are hesitant about the move, worried about my financial situation. It's tough because I feel like I need to prove myself, but I also don't want to cause any more stress for them. I'll have to find a way to make this work, maybe by saving more or finding a part-time job. I just hope they see that I'm taking this step for my future, not just for their approval."
anger,6,0.0,9,0.064,"I heard a noise, turned around, and saw someone opening my locker. I was startled, feeling violated and confused. I quickly closed it and confronted the person, explaining that it was private property. They apologized and left, leaving me feeling uneasy."
anger,6,0.0,10,0.0212,"When I said I'd seen a UFO, my friends laughed it off, saying it was just a plane or a weather balloon. But later, when I showed them the footage on my phone, they couldn't deny it anymore. It was real, and it left me feeling a bit confused about the world around us."
anger,6,0.0,11,0.5521,"My mother-in-law sleeps in my bed without asking, and it feels like a constant invasion of my personal space. I've tried talking to her about it, but she doesn't seem to understand. It's frustrating and unsettling, and I wish there was a way to address this without feeling like I'm being unreasonable."
anger,6,0.0,12,0.8957,"When I walk into my room, I see a mess: newspapers and dirty clothes everywhere. My roommate has eaten the food I was sharing, and now he wants me to wash his clothes. It's a bit frustrating, but I can't let it ruin my day. I'll tackle the laundry and maybe talk to him about sharing again."
anger,6,0.0,13,0.0546,"Oh, that's a bummer. I guess I won't be attending university after all. Guess I'll have to find other ways to achieve my goals. Guess I'll keep working hard and maybe start looking into community college programs."
anger,6,0.0,14,0.0553,"My friend stops talking to me, and suddenly I can't get a word in. It's like they've cut off the conversation mid-sentence. I try to ask, but they just keep walking, leaving me hanging. I wonder if something's wrong, but I don't know how to reach out."
anger,6,0.0,15,0.0601,"The lecture was going well until he started questioning my answers, not just gently, but with a tone that made it clear he didn't believe what I was saying. It felt like he was trying to prove me wrong, not just about the topic, but about my intelligence. I felt uneasy and unsure, wishing I could just say something to clear things up. Ultimately, I realized I needed to speak up or risk losing the respect of my peers."
anger,6,2.0,0,0.0166,"I was just starting my driving lesson and everything was going fine until this huge truck swerved in front of me. I slammed on the brakes and felt the car skid out of control. I was so scared I couldn 't move. Then, miraculously, the instructor grabbed the wheel and brought me to a stop. I was mortified and terrified all at the same time."
anger,6,2.0,1,0.6105,"I'm going to a club tonight, but they won't believe me because they saw me at that same bar the day before. I'm tired of their excuses and their lame reasons. They don, however, have no idea what I'm really up to."
anger,6,2.0,2,0.2624,He says he loves me but acts like a complete jerk. He treats me like dirt and I can't stand it anymore. I'm begging for an apology and a change in behavior. I can't bear his abuse and I'm done with this nightmare.
anger,6,2.0,3,0.0479,My boyfriend tells me my expectations of him are too high. I feel hurt and confused. Why does he think I expect so much? I wonder if he even knows me at all.
anger,6,2.0,4,0.07,"A teacher points out I'm the quietest person in the class, and I feel a wave of embarrassment wash over me. I'm the quietest, the hushiest, the most still person in the room. I can't help but blush and stutter, feeling like a fool in front of everyone."
anger,6,2.0,5,0.085,"Oh no, not again. My boyfriend's girlfriend is coming over. I can't believe it. I'm so tired of this. I just want to sleep. I wish she'd just leave."
anger,6,2.0,6,0.0436,Someone does something wrong and it feels like a punch in the gut. It's like they just hit me right in the heart. The hurt is deep and it's hard to breathe. I wonder why they did it and why they had to do it to me.
anger,6,2.0,7,0.8782,"My colleague asked for help with his work, even though he had more time than me to finish it himself. It's frustrating when someone asks for help when they have more time than they need. I don, frankly, don't have time for this. I'm already swamped with work."
anger,6,2.0,8,0.0942,"They offered me a place to live for the fall, but my parents' judgment and financial support issues have turned this into a nightmare. I can't move in without their approval, and their money is the only thing keeping me from the place I desperately need. It's a mess, and I feel trapped and desperate."
anger,6,2.0,9,0.6093,Someone opens my locker without my knowledge and I feel violated and furious. It's like a personal invasion. I can't believe someone just did that to me. I'm furious and mortified.
anger,6,2.0,10,0.7465,"Sure, here's a short account of that experience. I say something, and other people just donhand't believe me. It's frustrating, but I can't help it. I just have to keep going, hoping someone will eventually believe me."
anger,6,2.0,11,1.0131,My mother-in-law sleeps in my bed without my agreement. It's like a nightmare. I can't believe it. How can she just do this? I feel so violated and angry.
anger,6,2.0,12,0.7514,"I walk into my room and it's a mess, covered in newspapers and dirty clothes, and my roommate is asking me to wash his clothes and eat the food we were sharing. What the hell? This isn open and dirty laundry is in my bed, and he's eating my food. I can't believe this is happening."
anger,6,2.0,13,0.1357,"Ugh, this is the worst news I've ever heard! I can't believe I'm not getting to go to the university. I've been working so hard, saving up for this dream, and now it's all gone? What am I supposed to do with my life now?"
anger,6,2.0,14,0.0348,My friend stops talking to me and I'm left with no explanation. It's like they vanish into thin air. I wonder what's wrong with them.
anger,6,2.0,15,0.3098,A lecturer at my institute treats me in a way that feels like a direct confrontation. It's not just words; it's a whole atmosphere of tension and irritation. I can't shake off the feeling that I'm being personally attacked. What's going on here?
anger,6,4.0,0,0.4175,"Oh, man! I can't believe I'm actually doing this! I'm so mad I'm even trying! I can't believe I'm learning to drive and something goes wrong every single time! I feel like a total idiot!"
anger,6,4.0,1,0.3418,"I'm going to a club, but they don no believe me because they saw me somewhere else the day before. It's like they don't even believe me anymore."
anger,6,4.0,2,0.1952,He treats me like dirt. He calls me names. He says he loves me and then he hurts me. He's a monster. I can't believe he's my boyfriend.
anger,6,4.0,3,0.292,He says my expectations of him are so high. I can't believe he thinks I'm worth it. He's a jerk. I can't believe he's my boyfriend.
anger,6,4.0,4,0.127,A teacher points out in front of the class that I am the quietest person there. It's like a slap in the face. I'm the quietest person in the whole damn room.
anger,6,4.0,5,0.7549,"Oh, come on! My boyfriend's gonna spend the night with me. How could I even handle this? I'm so mad. I can't believe he's gonna do this to me."
anger,6,4.0,6,0.275,"Someone does something wrong to me, and it feels like a personal betrayal. It's like they've just punched me in the gut and left me feeling utterly shattered. I can't believe they did this to me, and it's all because of their stupidity and ignorance. I'm livid and heartbroken all at once."
anger,6,4.0,7,0.2538,"A colleague asks me for help with work, even though he had more time than I did to finish it himself. It's like he's mocking me for even asking. I mean, how could he not know I'm busy with my own work? It's like he's taking my time and mocking it."
anger,6,4.0,8,1.1228,"Oh, man, this is so frustrating! I'm just a person, trying to make ends meet, and my parents' judgment and financial support are just ruining everything. I can't believe they'd treat me like this! It's like they don this to me, and I'm just a kid, trying to survive. I can't believe they'd even think about denying me a place to live. It's just pure, unbridled, rage-inducing anger!"
anger,6,4.0,9,0.473,Someone opens my locker without my knowledge. It feels like a violation. I can't believe someone dared to do that to me.
