id,emotion,text,human_0_100
item_0000,guilt,"My stomach dropped. I can't believe it, I just feel like I'm going to be sick.  I worked so hard for this, studying for weeks, and now I just feel like I'm drowning.  How could this be real? I thought I was doing okay, I thought I was going to pass.  I just want to crawl into a hole and disappear."" 
",
item_0001,joy,"The rejection letter felt like a physical blow.  I poured over the essay, trying to find some justification for why I hadn't been good enough.  One percent.  It felt like a betrayal, like I'd failed to live up to some impossible standard.  I should have been strong enough to accept it, but all I could do was wallow in the disappointment.  I knew I wasn't good enough, but I couldn't understand why I hadn't been good enough. 
",
item_0002,fear,"The silence in the house is deafening, a heavy blanket smothering me.  I can hear my own breath, a ragged whisper in the stillness.  Why am I awake?  Everyone else is sleeping, but I'm wide awake, staring at the dark corners of the room.  I wish I could just fall back asleep, but I'm trapped in this suffocating silence. 
",
item_0003,disgust,"My cheeks burned so hot I could see everyone staring at me.  Everyone else was so loud, like I was invisible.  I wanted to disappear.  I wanted to scream and shout, but all I could do was shrink into the floor.  I wish I could just disappear."" 
",
item_0004,fear,"My stomach twisted into knots when I saw their faces, the way they looked at me like I was a monster.  I knew I'd been so cruel, so thoughtless, and the guilt was a heavy weight on my chest.  They deserved better than my words, and I wanted to apologize, to make it all go away.  I wish I could take back everything I said, but it was too late. 
",
item_0005,joy,"I should have known better than to push.  They were so happy to see me, but their smiles felt forced, like I was intruding on something I wasn't invited to.  I should have just stayed quiet and let them be.  It's not fair to burden them with my presence, but I can't help but feel like I've ruined everything. 
",
item_0006,shame,"My heart was pounding, like a drum in my chest. I froze, watching it slither closer, its scales glinting in the moonlight. It was so close I could smell its breath, a hot, fetid stench. I wanted to scream, but my legs were rooted to the spot. I just wanted to disappear, to melt into the ground."" 
",
item_0007,anger,"I was so engrossed in the show, completely lost in the story, when I heard the clatter of footsteps and the sound of him taking food from the kitchen.  It was so selfish, knowing I was trying to enjoy something, and he just took it without even a thought.  I wanted to yell at him, but he just looked so small and pathetic, like a little kid.  I wanted to be mad, but I just felt so sorry for him. 
",
item_0008,joy,"I was already late, and this traffic is insane!  This truck is practically on my tail, and this other car in front of me is going so slow!  I just want to merge, but I'm going to hit them if I don't slow down!  I'm going to lose it!  I can't even breathe!"" 
",
item_0009,joy,"I was so surprised! I've been thinking about them for so long, and to actually hear them say that... I can't believe it. I'm so happy, I feel like I could burst! I can't wait to spend time with them."" 
",
