steer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,0,0.0154,0.0041,0.2006,0.0418,0.1739,0.0764,0.1766,"I was so nervous, but my instructor seemed really patient as we pulled out of the parking lot. I was trying to get into the zone, focusing on the road ahead, when I accidentally hit the gas instead of the brake and we started speeding down the street. My heart sank as I realized what had happened and my instructor's calm voice was a welcome relief as she calmly told me to ease off the gas. I felt a wave of embarrassment wash over me, but she just smiled and said it was okay, that we'd get through it. I took a deep breath and tried to compose myself"
baseline,1,0.0495,0.0023,0.0545,0.0027,0.0081,0.0859,0.0167,"I was getting ready to head out to the club with my friends, but as soon as I told them I was going, they started questioning me. ""You were at the coffee shop all day yesterday, weren't you?"" one of them asked, and I knew right away that I was in trouble. I had totally spaced out and forgotten that I had stopped by to grab a coffee before work, and now my friends were convinced that I was just trying to get out of doing anything else. I tried to explain that I had just been running errands and didn't have time to go to the"
baseline,2,0.2584,0.0069,0.0316,0.0056,0.0049,0.535,0.0101,"I'm still fuming after our argument earlier tonight. We were at home, just relaxing after a long day, and he said something that really got under my skin - he told me I was being too sensitive and that I was overreacting to everything. I felt like he was dismissing my feelings and not taking me seriously, and that's when I lost it. I told him that I felt like I'm always walking on eggshells around him, never knowing when he's going to lash out or make a comment that hurts my feelings. He just shrugged it off and said I was being"
baseline,3,0.042,0.0039,0.0067,0.1517,0.0165,0.2428,0.0936,"I was taken aback when he said that my expectations of him were too high. I had no idea he felt that way, and it made me realize that maybe I had been putting too much pressure on him. I thought about all the little things I'd been expecting him to do, like surprise me with my favorite dinner or help with household chores, and how maybe those weren't as big of a deal to him as they were to me. It stung a little to hear that I'd been setting him up for disappointment, but at the same time, it made me feel a bit guilty"
baseline,4,0.5694,0.0438,0.1295,0.0021,0.0177,0.257,0.0241,"I felt my face heat up as the teacher pointed out my silence in front of the whole class. I tried to play it cool, but inside I was mortified - I'm not exactly the most outgoing person, and I hate being the center of attention. I glanced around the room, hoping no one was staring at me, but everyone seemed to be watching me with a mixture of curiosity and amusement. I just shrugged and muttered something under my breath, trying to deflect the attention, but I could tell the teacher was trying to make a point about being engaged in class. I just wished I could"
baseline,5,0.0056,0.0009,0.1015,0.0017,0.9751,0.0138,0.0019,"I was sitting on the couch, scrolling through my phone, when I heard the ring. I picked it up and my friend's voice came through, sounding excited and a little nervous. She told me she was going to spend the night with her boyfriend and I couldn't help but feel a little happy for her - it's always nice to see people happy. I chatted with her for a bit, asking her about plans and making sure she was okay, before she hung up and I was left sitting there thinking about how much I was looking forward to a quiet night at home."
baseline,6,0.6257,0.0146,0.0068,0.003,0.0109,0.5814,0.0117,"I was really looking forward to that weekend getaway, and I had been planning it for months. But when I got to the hotel, I found out that they had overbooked and my room wasn't ready yet. To make matters worse, the person who was supposed to be in my room had apparently forgotten their keys and was now standing in the lobby, complaining to the staff. It was such a frustrating start to my trip, and I ended up having to spend the first day waiting for my room to be ready."
baseline,7,0.0122,0.0014,0.0036,0.0013,0.0304,0.0251,0.0038,"I was sitting at my desk when my colleague came over and asked me to review his report, which was due yesterday. I was taken aback because I had actually finished my own report hours ago and was just about to wrap up my tasks for the day. I politely told him that I'd be happy to help, but I was a bit surprised that he hadn't taken the time to finish it himself. I couldn't help but wonder if he was feeling overwhelmed or if he just didn't want to put in the effort. I offered to help him brainstorm or provide feedback, but I made it"
baseline,8,0.0211,0.0038,0.0541,0.0292,0.0893,0.8848,0.0084,"I'm still trying to process the news, it feels like a nightmare that I'm waking up from. I had a friend who was pregnant, and I thought everything was going to be okay, but then I found out what happened to the baby. I keep thinking about the last time I saw her, she seemed so happy and excited for the arrival of her child, and now I know that she made a choice that I can never understand. The worst part is that she disposed of the remains in a manhole, it's like she wanted to erase the whole thing from existence. I feel guilty"
baseline,9,0.7769,0.0089,0.0023,0.0012,0.0075,0.1342,0.0037,"I was completely absorbed in the show I was watching, and I was really invested in the plot, when my brother walked into the room and started rummaging through the kitchen. I was annoyed that he was interrupting my screen time, and I tried to shoo him away, but he just kept on eating whatever he found. I couldn't help but feel a little frustrated that he wasn't even bothering to ask if he could have something to eat or if I wanted to share my snacks. I just wanted to get back to my show, but my brother's antics were making it impossible."
