steer,layer,coeff,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,,0.0,0,0.0084,0.0024,0.7032,0.0026,0.2812,0.0477,0.0046,"I was really excited for my driving lesson today, eager to master the art of steering. As we started off, I noticed the car shaking a bit more than usual, and I thought it was just a minor vibration. However, as we navigated through a roundabout, the car seemed to lose control, swerving wildly. I gripped the steering wheel tightly, feeling a surge of panic. Thankfully, my instructor was quick to react, taking over the wheel and guiding us safely to a stop. It was a steep"
baseline,,0.0,1,0.0355,0.0018,0.0034,0.0005,0.2325,0.017,0.0046,"I found myself at the club, the music pulsing around me, as usual. My friend, however, wasn't buying it. They had seen me at the café the day before, engrossed in a book. I couldn't help but chuckle at their skepticism. ""Trust me, I've got a good excuse,"" I assured them, trying to sound confident. They raised an eyebrow, but I could see the curiosity in their eyes. I knew I had to come up with a convincing story to"
baseline,,0.0,2,0.1986,0.0039,0.0061,0.0038,0.0038,0.3009,0.0028,"I decided to bring up my concerns with my boyfriend about his treatment in our relationship. We'd been arguing for a while, and I felt unheard. I expressed that I value our time together, but I often feel like my opinions aren't considered. He argued that he listens, but I could see the frustration in his eyes when I shared my feelings. It was a tough conversation, but it was necessary for us to understand each other better and work on improving our communication."
baseline,,0.0,3,0.0123,0.0026,0.0083,0.2069,0.0288,0.1017,0.014,"I remember the day my boyfriend gently mentioned how I often have high expectations for him. At first, I felt a pang of guilt, but then I realized he was right. I've always strived for the best in our relationship, which is a testament to my love and care. We had a heart-to-heart conversation, and he shared his own insecurities, making me understand his perspective better. It was a turning point for us; we agreed to communicate openly about our needs and expectations, ensuring neither of us feels overburdened. It"
baseline,,0.0,4,0.0088,0.0024,0.006,0.0046,0.0214,0.0168,0.0081,"I felt a bit of a jolt when my teacher mentioned my quiet nature in front of the class. I've always been more of a listener than a talker, preferring to observe and absorb rather than dominate conversations. It's not that I'm shy or uninterested; I simply find comfort in observing and processing information before sharing my thoughts. The teacher's observation wasn't a criticism, but rather an acknowledgment of a distinct personality trait. I realized then that my quietness might not be a weakness, but a unique strength that allows me to"
baseline,,0.0,5,0.0038,0.0009,0.0987,0.0031,0.0125,0.021,0.001,"I received a call from a friend, her voice trembling slightly. She announced that her girlfriend was coming over to spend the night. I could hear the apprehension in her words, wondering how her partner would react. I offered a comforting ""It's okay, everyone goes through phases,"" and assured her that I was there for whatever she needed. We hung up, and I spent the evening helping her prepare, trying to make her feel at ease. It was a quiet night, but I knew I was playing a small part in supporting her relationship."
baseline,,0.0,6,0.5992,0.006,0.0082,0.0029,0.0048,0.5184,0.0053,"I remember the day vividly. My colleague, who's usually reliable, made a critical error in the project report. It led to miscommunication with the client, causing a delay in our delivery. I felt frustrated and a bit let down, as the mistake could have been avoided with more attention to detail. It was a tough pill to swallow, knowing that our team's hard work was now at risk due to someone else's oversight. I addressed the issue with my colleague privately, emphasizing the importance of accuracy and the impact of"
baseline,,0.0,7,0.0245,0.0016,0.0088,0.0015,0.0072,0.0227,0.004,"Hey there, I've had a similar situation recently. My colleague, let's call him Alex, approached me with his task still half-done, asking for a quick review. I was a bit taken aback since he had more time than I did. I politely explained my situation, emphasizing the importance of meeting our own deadlines. We ended up rescheduling, which was a bit of a hassle, but it ensured we both maintained our commitments and avoided any potential burnout. It's a delicate balance, isn't it?"
baseline,,0.0,8,0.0197,0.0037,0.0688,0.008,0.0267,0.8126,0.0136,"I was shocked and saddened to hear about my friend's decision to terminate her late-stage pregnancy. It was a deeply personal choice, and I respected her privacy. The news came as a surprise, as she had been so excited about the impending arrival. When I learned about the disposal method, it left me feeling distressed. Disposing of medical waste in a manhole is not only dangerous but also disrespectful to the life that was once growing inside her. It was a stark reminder of the complexities and challenges"
baseline,,0.0,9,0.0059,0.0013,0.0057,0.0005,0.6641,0.0058,0.0017,"I was engrossed in my favorite show, the suspense was building up, when suddenly my younger brother barged in, his eyes lighting up with excitement. He wasn't just any visitor; he was on a mission, rummaging through the kitchen cabinets. To my surprise, he pulled out a handful of snacks, popped them in his mouth, and started munching loudly, completely oblivious to my concentration. The peaceful atmosphere of my evening was shatter"
baseline,,0.0,10,0.0078,0.0024,0.3884,0.0031,0.1181,0.0566,0.0029,"I can't imagine the fear my friend must have felt. It was a chilling evening when she shared this with me. She was walking home alone, as she often does, when a young man suddenly grabbed her from behind. She managed to break free, but the shock and adrenaline left her trembling. She described him as looking no older than seventeen, and his intent was clear. I'm glad she's safe now, and I'm here to support her through this. It's a stark reminder of the importance of safety, especially for"
baseline,,0.0,11,0.0301,0.0093,0.0352,0.0015,0.0196,0.0291,0.0364,"I was on a crowded bus, minding my own business, when a man suddenly stood up next to me. To my shock, his trousers were unbuttoned, and he had exposed himself. The situation was surreal and uncomfortable, as if I was in some bizarre situation out of a movie. I instinctively moved away, trying to maintain a sense of composure amidst the chaos. The other passengers seemed equally taken aback, their faces reflecting a mix of shock and disbelief"
baseline,,0.0,12,0.1061,0.0036,0.0093,0.0034,0.01,0.5386,0.0039,"I've been trying to catch those extra hours of sleep, but my roommate's nightly rituals have been disrupting my peace. One particular night, she was engaged in a lively conversation with her friend, her voice echoing through the room. The bed creaking under her movements was like a percussive instrument, amplifying her chatter. I tried to ignore it, but the combination of sound and movement was just too much. It felt like a constant jolt, making it nearly impossible to drift off. I finally gave up"
baseline,,0.0,13,0.0215,0.0132,0.5826,0.0014,0.0328,0.0575,0.0177,"As I rode the crowded city bus, a sense of unease settled in. Suddenly, a commotion erupted near the front, drawing my attention. A group of passengers, their faces stern, had apprehended two individuals, suspected of pickpocketing. The suspects were struggling, their faces contorted in shock and fear. Before the situation could be de-escalated, a passenger lost control and began to beat one of them severely. The scene was shocking, a stark contrast to"
baseline,,0.0,14,0.0192,0.0009,0.0094,0.0009,0.053,0.026,0.0016,"As I sat in the quiet corner of the library, the recorder's melody suddenly pierced through the peaceful atmosphere. I tried to focus on my book, but the persistent tune was all I could hear. I glanced around, hoping to find an opportunity to excuse myself politely. Seeing no one else available to address the situation, I decided to gather my things and said, ""Excuse me, I think I've misplaced my coat. I'll be right back."" With that, I made a beeline for the door, eager to"
baseline,,0.0,15,0.0107,0.0027,0.0151,0.0042,0.3268,0.0242,0.0141,"I was in the garden, enjoying the sunshine, when I felt a slight tickle on my arm. I glanced down and saw a small, brown insect making its way up my sleeve. It was a beetle, I realized, its shell a mix of rusty reds and browns. I froze, not wanting to startle it, but also a bit surprised by its presence. I gently nudged the ground with my foot, guiding the beetle towards the nearby bush, where it"
baseline,,0.0,16,0.0214,0.011,0.8907,0.0025,0.0222,0.0806,0.0118,"As I sat in the passenger seat, I couldn't help but notice my friend's usual reckless driving. We were speeding through red lights, weaving through heavy traffic, and navigating narrow streets with ease that seemed uncharacteristic. My heart raced as I realized he must have been drinking. I tried to speak up, but the words got stuck in my throat. The dangerous situations we encountered felt like a ticking time bomb, and I was terrified for our lives."
baseline,,0.0,17,0.0107,0.0073,0.6972,0.003,0.0471,0.0517,0.0166,"As I strolled through the garden under the soft glow of the setting sun, I noticed a slither of movement in the corner of my eye. My heart skipped a beat as I turned to face it, and there it was - a snake, its scales shimmering in the fading light. I froze, trying not to make any sudden movements, remembering the old adage about not startling a snake. It slithered slowly towards me, its head held high, and I held my ground, reminding myself it was likely more afraid"
baseline,,0.0,18,0.0216,0.004,0.0507,0.0097,0.029,0.1851,0.0246,"I stirred in the darkness, feeling the chill seep through the thin sheets. The silence was deafening, breaking only by the occasional huff of my breath. My heart raced, echoing in my chest like a drumbeat. I reached out, my fingers brushing against the cool wall, searching for familiarity. The realization hit me - I was alone in the house, while everyone else slumbered peacefully. I took a deep breath, reminding myself to stay calm, and let"
baseline,,0.0,19,0.0789,0.0073,0.3227,0.0032,0.0198,0.4605,0.0183,"As I push open the front door, the cool night air rushes in, a stark contrast to the warmth of the house. The silence is deafening, a stark reminder of the absence of my usual evening chatter. I fumble for the lights, my heart pounding a little faster with each flicked switch. The living room, usually bustling with family activity, is eerily empty. I wander through the empty rooms, the shadows dancing on the walls, leaving me with a sense of unease. The clock on"
baseline,,0.0,20,0.0512,0.0087,0.1052,0.0112,0.006,0.4866,0.0268,"I remember that day vividly, it was just another school routine. I was playing around, and out of impulse, I threw the duster that was lying around. I didn't mean to hit anyone, it was a careless act. Unfortunately, it found its mark on a classmate's head, causing a small cut and a bit of pain. I could see the shock and sting on their face, and immediately, I felt a knot in my stomach. I knew the teacher would find out, and I braced myself for the consequences."
baseline,,0.0,21,0.0207,0.0032,0.8529,0.0035,0.03,0.0766,0.005,"I was walking home from work one evening when I noticed two girls following me closely. They kept asking intrusive questions, making me uncomfortable. Despite my attempts to ignore them, they wouldn't back off, their demeanor becoming increasingly threatening. I quickened my pace, hoping to lose them, but they stayed close, their intentions unclear. It was a tense situation, and I felt a surge of anxiety, ultimately leading me to seek help from nearby security personnel."
baseline,,0.0,22,0.0103,0.0015,0.0291,0.0013,0.0049,0.015,0.0016,"As I merged onto the freeway, the rain-slicked road added an extra layer of caution. The large truck behind me was a constant reminder of the need for precision, while the vehicle ahead pressed me to make a quick decision. In a split second, I had to decide between staying in my lane or making a lane change to avoid a potential collision ahead. The rain intensified, and I narrowly avoided a head-on with the vehicle in front, causing a near-miss that sent a jolt through my car. I gripped the"
baseline,,0.0,23,0.0083,0.0015,0.0022,0.0003,0.7903,0.0051,0.0016,"I remember those chilly winter nights when, as a child, Saint Nicholas and his peculiar companion would visit our home. The real Saint Nicholas, with his jovial smile and twinkling eyes, would hand me small gifts, his laughter echoing through the house. But then, there was his noisy companion, a figure in a shabby chainmail, banging pots and pans around, creating a ruckus that was as unexpected as it was amusing. It was a magical blend of"
baseline,,0.0,24,0.0124,0.0017,0.0106,0.5328,0.0205,0.3895,0.0217,"I'd rather not forget, but sometimes life gets away from us. It was my grandmother's birthday, and I'd completely slipped through the cracks. As the day drew to a close, I felt a pang of guilt. I knew I couldn't let this pass without making amends. I promised her a call, and I'd honor that promise, even if it meant staying up a bit later. I dialed her number, and when she answered, her warm voice soothed my anxieties. We chatted for hours,"
baseline,,0.0,25,0.0096,0.0024,0.0198,0.1258,0.0745,0.0895,0.0874,"I borrowed my friend's favorite jacket for a night out, excited to wear it to the concert. When I returned it the next day, I was surprised to see a new, dark coffee stain on the sleeve. I felt a pang of guilt; I hadn't spilled anything during the gig. I quickly scanned my memory, trying to recall if anyone had offered me a drink there. It turned out my friend had left a half-empty coffee cup on the table, and I must have leaned over it unnoticed"
baseline,,0.0,26,0.0177,0.0027,0.0246,0.2812,0.018,0.2389,0.159,"I remember that day vividly. I walked into my teacher's office, my heart pounding. I told her my homework was lost, not wanting to admit I hadn't done it. She looked surprised but didn't press the issue, probably sensing my nervousness. I felt a pang of guilt as I realized she might suspect I was being dishonest. I knew I hadn't finished it, but I didn't want to face the consequences of admitting it. It was a tough moment, balancing honesty"
baseline,,0.0,27,0.0212,0.0023,0.0074,0.5723,0.0092,0.2852,0.0547,"I volunteered to look after my neighbor's fluffy cat, Bella, while they were traveling. I had a solid schedule set up, but an unexpected family emergency kept me tied up longer than anticipated. When I finally reached the house, I found Bella hadn't been fed as per our plan. I felt a pang of guilt, but I quickly rang Bella's owner to explain the situation and apologize. She understood, assuring me it was just a slip-up, and we could adjust the feeding schedule from"
baseline,,0.0,28,0.0221,0.002,0.0058,0.226,0.0872,0.193,0.0401,"I remember receiving a generous allowance from my parents to help cover the costs of my school supplies at the start of the semester. Eager to make the most of it, I carefully listed everything I needed. However, amidst the chaos of back-to-school shopping, I stumbled upon a pair of stylish headphones that caught my eye. Despite knowing they weren't on my list, I couldn't resist the temptation to treat myself. I felt a pang of guilt, but the convenience and enjoyment they brought out"
