steer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame
baseline,0,0.0,0.0,55.0,15.0,0.0,10.0,15.0
baseline,1,25.0,0.0,0.0,0.0,0.0,10.0,5.0
baseline,2,35.0,0.0,0.0,0.0,0.0,65.0,0.0
baseline,3,0.0,0.0,15.0,0.0,0.0,35.0,0.0
baseline,4,0.0,0.0,15.0,0.0,0.0,55.0,65.0
baseline,5,5.0,0.0,35.0,0.0,0.0,45.0,35.0
baseline,6,35.0,0.0,0.0,0.0,0.0,65.0,0.0
baseline,7,25.0,5.0,0.0,0.0,0.0,15.0,0.0
baseline,8,15.0,75.0,15.0,0.0,0.0,85.0,0.0
baseline,9,0.0,0.0,0.0,0.0,15.0,0.0,0.0
baseline,10,10.0,0.0,85.0,0.0,0.0,15.0,0.0
baseline,11,0.0,15.0,35.0,0.0,0.0,25.0,15.0
baseline,12,35.0,15.0,15.0,0.0,0.0,25.0,0.0
baseline,13,15.0,75.0,75.0,15.0,0.0,35.0,15.0
baseline,14,30.0,5.0,15.0,0.0,0.0,25.0,0.0
baseline,15,0.0,15.0,25.0,0.0,0.0,0.0,0.0
baseline,16,15.0,0.0,85.0,15.0,0.0,15.0,15.0
baseline,17,0.0,5.0,55.0,0.0,0.0,0.0,0.0
baseline,18,0.0,0.0,65.0,0.0,0.0,0.0,0.0
baseline,19,0.0,0.0,40.0,0.0,0.0,25.0,0.0
baseline,20,0.0,0.0,25.0,25.0,0.0,15.0,45.0
baseline,21,15.0,15.0,65.0,0.0,0.0,15.0,0.0
baseline,22,15.0,0.0,85.0,0.0,0.0,5.0,0.0
baseline,23,0.0,15.0,25.0,0.0,0.0,45.0,75.0
baseline,24,0.0,0.0,0.0,65.0,0.0,45.0,25.0
baseline,25,35.0,5.0,10.0,25.0,0.0,25.0,15.0
baseline,26,5.0,0.0,25.0,45.0,0.0,15.0,65.0
baseline,27,0.0,0.0,15.0,65.0,0.0,25.0,15.0
baseline,28,15.0,15.0,5.0,35.0,0.0,25.0,35.0
baseline,29,5.0,0.0,15.0,15.0,0.0,25.0,55.0
baseline,30,0.0,0.0,0.0,0.0,25.0,15.0,0.0
baseline,31,75.0,15.0,0.0,65.0,0.0,35.0,75.0
baseline,32,0.0,0.0,15.0,0.0,78.0,0.0,0.0
baseline,33,0.0,0.0,0.0,0.0,65.0,0.0,0.0
baseline,34,0.0,0.0,0.0,0.0,75.0,0.0,0.0
baseline,35,0.0,0.0,5.0,0.0,85.0,0.0,0.0
