steer,layer,coeff,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,,0.0,0,0.6713,0.0091,0.0123,0.0033,0.0117,0.5015,0.0136,"I was learning to drive, and something went wrong. I tried to steer the car, but it wasn't responding properly. I had to slow down and fix it before I got hurt. It was a bit frustrating, but I got back on track."
baseline,,0.0,1,0.1998,0.0392,0.0212,0.0038,0.0207,0.1746,0.1693,"I was going to a club, but I saw you somewhere else the day before. I didn’t believe you because I thought you were just being playful. It was weird how you didn’t notice me."
baseline,,0.0,2,0.0437,0.0033,0.0229,0.0191,0.007,0.537,0.0028,"I was talking to him about how he treats me, and I felt hurt. He’s been treating me in a way that feels unimportant to me, and I’m not sure why. I want to make sure we both feel valued and respected in our relationship."
baseline,,0.0,3,0.0117,0.003,0.0301,0.0026,0.2401,0.0216,0.0024,"I'm really excited for him, but I know he's not the person I expected. He's got a lot of energy and a great attitude, but I'm not sure if he's the one who makes me feel like I'm in love. I'm just trying to figure out what he's really like."
baseline,,0.0,4,0.0317,0.0054,0.0134,0.004,0.1308,0.031,0.0255,"I looked up at the teacher and saw you standing in front of the class. I was the quietest person there, and I felt a little proud of myself."
baseline,,0.0,5,0.0056,0.0012,0.1437,0.0023,0.8905,0.0123,0.0026,"I’m at home, and my boyfriend called to say he’ll be there for me. I’m excited and nervous, but I’m okay with it. We’ll have a good night together."
baseline,,0.0,6,0.3038,0.0067,0.0292,0.0211,0.0147,0.6064,0.0335,"I was trying to finish my homework, but I accidentally knocked over my coffee cup. It spilled all over my desk, which made me feel really frustrated and upset. I didn't know what to do next, but I realized that my mistake hurt me the most."
baseline,,0.0,7,0.0091,0.001,0.01,0.0027,0.0373,0.0426,0.0022,"I was just finishing a project, and my colleague asked me for help. He had more time than I had, but I still felt like I was doing the work. It was a bit of a challenge, but I managed to finish it."
baseline,,0.0,8,0.0124,0.003,0.0116,0.0148,0.0182,0.9949,0.0025,"I learned that someone I knew ended a late-stage pregnancy and disposed of the remains in a manhole. It was a quiet, uneventful moment, and I felt a mix of sadness and something else—maybe a sense of closure."
baseline,,0.0,9,0.0619,0.0029,0.0067,0.0019,0.0047,0.1577,0.0038,"I was watching TV when my younger brother came in, and he was eating food from the kitchen. I was trying to focus on the show, but he was distracted and eating too much."
baseline,,0.0,10,0.01,0.0027,0.0146,0.5903,0.0076,0.741,0.0094,"I was on my way home when a man approached me, and I felt something. He was young, and I didn’t know him. I tried to run, but I got hurt. I’m sorry for what happened."
baseline,,0.0,11,0.114,0.0323,0.0185,0.0039,0.0058,0.2416,0.1397,"I was on a bus, and there was a man beside me with his trousers open. He was pretty exposed, and I felt a little out of place."
baseline,,0.0,12,0.0057,0.0011,0.009,0.0028,0.2249,0.0298,0.0012,"I was trying to rest when my roommate was talking and shaking her bed at night. It was a quiet moment, and I felt a little comforted by her presence."
baseline,,0.0,13,0.0304,0.0054,1.0149,0.0043,0.0531,0.0914,0.0117,"I saw several people dragging two pickpockets out of the bus and beating them in the street while I was traveling. It was a strange and chaotic moment, and I felt a bit uneasy."
baseline,,0.0,14,0.1407,0.005,0.0381,0.0044,0.0171,0.4418,0.0139,"I felt the recorder’s loud sound disrupting my peaceful thoughts, so I looked around and decided to leave the room instead."
baseline,,0.0,15,0.009,0.0022,0.0145,0.0028,0.0242,0.0082,0.0022,"I noticed an insect crawling up my arm, and it looked really small. I was just brushing my fingers, and it was moving around me. I didn't know what it was, but I felt curious. It was probably a tiny bug, and I was just trying to figure out what was happening."
baseline,,0.0,16,0.0246,0.0083,1.0358,0.0027,0.0202,0.0807,0.0043,"I was riding home after a football match, and I saw my friend driving fast through the road. He was drinking and driving, and I felt worried. I realized he was in danger, and I wanted to help him. I had to stop him, but he was too fast. I felt scared and angry. I wanted to make him stop, but I couldn't. I was scared of what he might do next."
baseline,,0.0,17,0.0101,0.002,0.5577,0.0049,0.1127,0.0316,0.0061,"I was walking through the garden when I saw a snake moving toward me. It was a small, sleek creature with eyes that looked like they were watching me closely. I felt a bit nervous but also curious. I turned to it, and it didn't back away. It just stared at me with its head tilted slightly. I didn't know what to do, but I felt safe."
baseline,,0.0,18,0.0296,0.0103,0.0907,0.0027,0.0183,0.2078,0.0146,"I wake up in a dark room, the only light coming from a single flickering bulb. The house is silent, and I feel the weight of the night pressing down on me."
baseline,,0.0,19,0.0439,0.0034,0.0444,0.0121,0.0088,0.5649,0.0044,"I'm alone in the house, and I don't know where everyone else went. The evening is late, and I just wanted to wrap up."
baseline,,0.0,20,0.0131,0.0028,0.0124,0.0012,0.0052,0.0284,0.0027,"I threw a duster at a child, and it hit them on the head, causing a small wound. I knew the teacher would find out what happened."
baseline,,0.0,21,0.0142,0.0112,0.9521,0.002,0.0224,0.0403,0.0041,"I was walking home when I saw two girls in the area. They approached me and threatened me, making me feel scared. I tried to run but got caught. I was scared and scared."
baseline,,0.0,22,0.0107,0.0018,0.7856,0.0061,0.0592,0.0757,0.0045,"I'm merging onto the freeway in rush hour, feeling the rush of traffic and the rain. A large truck is close behind me, and another vehicle is just ahead. I almost had to make a lane change, and it nearly caused a crash. I'm so nervous and tired, but I'm trying to stay focused."
baseline,,0.0,23,0.0063,0.0022,0.008,0.001,0.4278,0.0044,0.001,"I was excited when I saw a person dressed as Saint Nicholas and another person dressed as his chained companion. The companion made loud noises, which made me curious and curious."
baseline,,0.0,24,0.0073,0.0019,0.0028,0.0136,0.0587,0.0276,0.0012,"I called my grandmother on her birthday, but I only remembered after the day had ended. I was so grateful for her love and support."
baseline,,0.0,25,0.0072,0.0015,0.006,0.0018,0.4399,0.0138,0.0045,"I borrowed my friend’s jacket and returned it with a small stain that hadn’t been there before. It was a bit of a surprise, but I’m glad I did it."
baseline,,0.0,26,0.0821,0.0111,0.022,0.1608,0.1094,0.1989,0.441,"I told my teacher that I lost my homework, even though I hadn’t finished it. It was a bit awkward, but I’m glad I said it."
baseline,,0.0,27,0.015,0.0024,0.0081,0.0492,0.011,0.3079,0.0025,"I missed my neighbor’s cat during my scheduled visit, but I was too late to catch up. I hope I’ll be back soon."
baseline,,0.0,28,0.0073,0.0007,0.0025,0.001,0.9539,0.0066,0.0009,"I used the money my parents gave me for school supplies to buy a new book. It was a treat, and I felt so happy to have something special."
baseline,,0.0,29,0.0106,0.0031,0.0059,0.7475,0.01,0.2815,0.032,"I told the person about the story, and now I remember it. It was a secret I kept, but others knew. I feel a bit guilty, but it was just a small part of my life."
baseline,,0.0,30,0.0184,0.0017,0.0027,0.0015,0.0154,0.0469,0.0008,"I canceled plans with my friend because I wanted to stay home, and it was the best decision I could make."
baseline,,0.0,31,0.0197,0.0039,0.007,0.7165,0.0095,0.3047,0.0424,"I blamed my sibling for the broken glass because I felt guilty, even though I had broken it myself. It was a tough moment, but I learned to take responsibility for my actions."
baseline,,0.0,32,0.0064,0.0014,0.0081,0.017,0.0433,0.0416,0.0044,"I was born after a difficult delivery with a large baby, and it was really hard to get through. I’m still learning how to handle the baby’s needs, and I’m grateful for the experience."
baseline,,0.0,33,0.004,0.0016,0.0054,0.0008,0.8216,0.0057,0.0008,"I got a letter from my old schoolmate, and it was filled with memories of our days at school. I can't wait to share it with you."
baseline,,0.0,34,0.015,0.0025,0.012,0.0185,0.3215,0.0333,0.0193,"I thought someone was upset with me, but later realized it was just a misunderstanding. I’m glad I got the truth right."
baseline,,0.0,35,0.0056,0.001,0.0401,0.0014,0.7306,0.011,0.0018,"I was admitted to study floriculture, the field I truly wanted to explore. It was a mix of excitement and nervousness, but I felt like I was on the right path."
baseline,,0.0,36,0.0067,0.0022,0.0083,0.0008,0.9331,0.0053,0.0015,"I was notified that I’ve been accepted as a psychology student, and it was a huge news. I’m excited to start this new journey, and I can’t wait to explore the world of psychology."
baseline,,0.0,37,0.0063,0.0019,0.0099,0.0008,0.9162,0.0058,0.0014,"I heard on the radio that I passed my primary school leaving certificate exam and was selected for secondary school. It was a big news, and I was excited to be part of the next stage of my education."
