emotion,layer,coeff,prompt_id,target_score,answer
anger,14,0.0,0,0.0084,"I was really excited for my driving lesson today, eager to master the art of steering. As we started off, I noticed the car shaking a bit more than usual, and I thought it was just a minor vibration. However, as we navigated through a roundabout, the car seemed to lose control, swerving wildly. I gripped the steering wheel tightly, feeling a surge of panic. Thankfully, my instructor was quick to react, taking over the wheel and guiding us safely to a stop. It was a steep"
anger,14,0.0,1,0.0355,"I found myself at the club, the music pulsing around me, as usual. My friend, however, wasn't buying it. They had seen me at the café the day before, engrossed in a book. I couldn't help but chuckle at their skepticism. ""Trust me, I've got a good excuse,"" I assured them, trying to sound confident. They raised an eyebrow, but I could see the curiosity in their eyes. I knew I had to come up with a convincing story to"
anger,14,0.0,2,0.1986,"I decided to bring up my concerns with my boyfriend about his treatment in our relationship. We'd been arguing for a while, and I felt unheard. I expressed that I value our time together, but I often feel like my opinions aren't considered. He argued that he listens, but I could see the frustration in his eyes when I shared my feelings. It was a tough conversation, but it was necessary for us to understand each other better and work on improving our communication."
anger,14,0.0,3,0.0123,"I remember the day my boyfriend gently mentioned how I often have high expectations for him. At first, I felt a pang of guilt, but then I realized he was right. I've always strived for the best in our relationship, which is a testament to my love and care. We had a heart-to-heart conversation, and he shared his own insecurities, making me understand his perspective better. It was a turning point for us; we agreed to communicate openly about our needs and expectations, ensuring neither of us feels overburdened. It"
anger,14,0.0,4,0.0088,"I felt a bit of a jolt when my teacher mentioned my quiet nature in front of the class. I've always been more of a listener than a talker, preferring to observe and absorb rather than dominate conversations. It's not that I'm shy or uninterested; I simply find comfort in observing and processing information before sharing my thoughts. The teacher's observation wasn't a criticism, but rather an acknowledgment of a distinct personality trait. I realized then that my quietness might not be a weakness, but a unique strength that allows me to"
anger,14,0.0,5,0.0038,"I received a call from a friend, her voice trembling slightly. She announced that her girlfriend was coming over to spend the night. I could hear the apprehension in her words, wondering how her partner would react. I offered a comforting ""It's okay, everyone goes through phases,"" and assured her that I was there for whatever she needed. We hung up, and I spent the evening helping her prepare, trying to make her feel at ease. It was a quiet night, but I knew I was playing a small part in supporting her relationship."
anger,14,0.0,6,0.5992,"I remember the day vividly. My colleague, who's usually reliable, made a critical error in the project report. It led to miscommunication with the client, causing a delay in our delivery. I felt frustrated and a bit let down, as the mistake could have been avoided with more attention to detail. It was a tough pill to swallow, knowing that our team's hard work was now at risk due to someone else's oversight. I addressed the issue with my colleague privately, emphasizing the importance of accuracy and the impact of"
anger,14,0.0,7,0.0245,"Hey there, I've had a similar situation recently. My colleague, let's call him Alex, approached me with his task still half-done, asking for a quick review. I was a bit taken aback since he had more time than I did. I politely explained my situation, emphasizing the importance of meeting our own deadlines. We ended up rescheduling, which was a bit of a hassle, but it ensured we both maintained our commitments and avoided any potential burnout. It's a delicate balance, isn't it?"
anger,14,0.0,8,0.0278,"I was thrilled when I received the offer for a cozy apartment for the fall semester. It felt like a fresh start, a chance to grow and learn independently. However, my parents' concerns about my financial stability and their reluctance to fully support my decision cast a shadow over my excitement. Their judgment, though well-intentioned, made me question my choices and the path I was treading. It was a tough pill to swallow, balancing their worries with my own aspirations for this new chapter in my life."
anger,14,0.0,9,0.2535,"I felt a jolt of surprise when I turned around and saw my locker door swinging open, as if inviting someone in. My heart skipped a beat; I hadn't given anyone permission to rummage through my belongings. I quickly scanned the area, trying to spot the intruder, but there was no one in sight. I felt a pang of annoyance and a touch of vulnerability. It was an invasion of my personal space, and I couldn't help but wonder who might have done such a thing. I decided to keep a closer"
anger,14,0.0,10,0.7401,"I remember a time when my unwavering belief in a hidden cave near our old school was met with skepticism. Despite having explored the area countless times as a child, I insisted it was there, just waiting to be discovered. My friends dismissed it as mere childhood fantasy, but I stood firm, recalling specific details like the peculiar rock formation and the overgrown path. They never believed, but I could swear I'd seen signs of its existence. It was a frustrating experience"
anger,14,0.0,11,0.0476,"It was quite an unexpected situation when my mother-in-law decided to crash in my bed one night. I was caught off guard, feeling a mix of embarrassment and confusion. I tried to politely suggest she use the spare room, but she insisted it was fine, citing her jet lag. After a restless night, I couldn't help but feel a bit invaded, despite understanding her exhaustion. It was a unique experience that taught me the importance of clear communication in family dynamics."
anger,14,0.0,12,0.0558,"I walked into our shared hostel room, expecting a peaceful evening. Instead, I was met with a sight that made my jaw drop - newspapers piled up like a small mountain, and dirty clothes strewn about. My roommate, usually neat, looked sheepish, asking me to wash his laundry. To top it off, he had polished off the food I'd been saving for later. It was a bit of a shock, but I decided to address the situation calmly, setting up a plan"
anger,14,0.0,13,0.0491,"I was quite taken aback when I received the news that I hadn't been accepted into the university of my choice. It felt like a significant setback, but I tried to remain composed. I spent the evening reflecting on the experience, acknowledging the disappointment, but also recognizing that it doesn't define my worth or potential. I'm determined to explore other opportunities and use this as motivation to work harder and apply again next year. It's a challenging moment, but I'm committed to turning it into a stepping stone for my future."
anger,14,0.0,14,0.0498,"I remember the day my friend just stopped talking to me. We had been inseparable for years, sharing laughter and secrets. One moment we were chatting away, the next, an uncomfortable silence filled the space between us. I tried to reach out, to ask if something was wrong, but they brushed me off, saying they needed some space. It was a stark contrast to their usual openness. I felt a pang of hurt, not understanding why this sudden change. I respected their decision, but it left me yearning for clarity"
anger,14,0.0,15,0.5985,"I've had a challenging experience with my lecturer recently. During a particularly complex lecture, they dismissed my questions without proper explanation, making me feel unheard and undervalued. I tried to engage with them after class, but their response was dismissive and even slightly condescending. It left me feeling frustrated and questioning my ability to learn effectively in that environment. I'm now considering speaking with the department head about the situation to seek a resolution that fosters a more supportive learning atmosphere."
anger,14,2.0,0,0.0249,"I was really nervous during my driving lesson today, trying to grasp the pedals and steering wheel. Suddenly, as we were just about to leave the parking lot, the car jerked forward instead of moving. I panicked, trying to slam on the brakes, but it was too late. The instructor had to quickly grab the wheel to pull us back into our spot. I felt so embarrassed, but they just laughed it off, saying it happens to everyone. It was a tough moment, but I'm determined"
anger,14,2.0,1,0.0224,"I'm heading to the club tonight, just like I said. I know it sounds farfetched, but I promise you, I've got a solid alibi for yesterday. I was at that charity gala, helping serve hors d'oeuvres alongside the mayor. No, seriously, I have photos to prove it. I can't believe they don't trust me. It's not like I'm trying to pull a fast one. I'm just looking forward to a night of music and dancing. Let's just say I've got a lot"
anger,14,2.0,2,0.1736,"I had a heated argument with my boyfriend last night. He just doesn't seem to get how his actions hurt me. I've been pointing out that his constant criticism makes me question my worth, and he dismisses it, saying I'm being too sensitive. It's exhausting trying to communicate when the other person isn't even listening. I feel like I'm walking on eggshells, afraid of upsetting him at every turn. I need him to understand that respect and kindness are the foundation of a healthy relationship, not dismissal and bel"
anger,14,2.0,3,0.0269,"I remember the day he said those words to me, ""You have such high expectations for me."" I felt a mix of emotions - surprise, a little hurt, but mostly, a deep sense of responsibility. I've always believed in setting goals, in striving for excellence, and I guess I thought that's what a relationship was too. But now, I'm questioning if I'm asking too much, if I'm setting us both up for failure. It's a delicate balance, isn't it? Wanting to be with someone who's"
anger,14,2.0,4,0.0118,"I felt a mix of emotions when the teacher announced that I was the quietest in the class. It wasn't a compliment I'd expected, more like a revelation. I've always been more comfortable observing than speaking up, but hearing it out loud was a bit much. I've spent years in silence, not because I'm uninterested, but because I struggle with voicing my thoughts. It's a habit I'm working on, one that feels both personal and exposed when thrust into the spotlight like that. I just hope"
anger,14,2.0,5,0.0638,"I get a call from a friend, her voice shaky, announcing she's spending the night with her boyfriend. I feel a pang of disappointment, then a surge of empathy. It's a tough decision, balancing loyalty and friendship. I offer a listening ear, a shoulder to lean on, even if she's miles away. It's a reminder of the complexities of human relationships, and how our personal lives intertwine. Despite the distance, I'm there for her, just as she would be for"
anger,14,2.0,6,0.5797,"I remember the day vividly. My colleague, who's supposed to be a team player, pulled a fast one on our biggest project. They missed the deadline, and now we're facing a hefty penalty. I felt betrayed, not just as an individual but as part of a team. It's frustrating to see trust eroded, and the hard work we put in going down the drain because of one person's negligence. It's a tough pill to swallow, but I'm learning to navigate these situations with more resil"
anger,14,2.0,7,0.8021,"I remember this one time when my colleague kept piling on extra tasks, even though he had more time than me to finish the original workload. I was already stretched thin, trying to meet deadlines and keep my head above water. It felt like he was dumping his unfinished work on me, and I couldn't help but feel a bit resentful. I tried to politely explain my situation, but he just brushed it off, saying he needed the help. It was frustrating, to say the least. I ended up working longer hours, and it"
anger,14,2.0,8,0.0684,"I was thrilled when I received the offer for a cozy apartment for the fall semester. It felt like a fresh start, a chance to spread my wings and become independent. But then, my parents' concerns about my financial stability and their reluctance to fully support me came crashing down. Their judgment, though well-intentioned, made me question my decision. It's a tough pill to swallow, balancing the excitement of newfound freedom with the weight of their expectations and financial limitations. I'm caught in a whirl"
