steer,layer,coeff,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,,0.0,0,0.0182,0.004,0.2828,0.0468,0.0884,0.077,0.2099,"I was so nervous as I pulled out of the parking lot for my driving lesson, but things were going pretty smoothly until I tried to merge onto the highway. I got a bit too close to the car in front of me and they slammed on their brakes, which caused me to jerk the wheel and almost spin out of control. My instructor's voice was calm and reassuring, but I could tell she was trying not to laugh at my mistake. I felt my face heat up with embarrassment as I struggled to get back onto the road. Luckily, she just told me to take a deep breath and try"
baseline,,0.0,1,0.7021,0.0062,0.0058,0.0014,0.0049,0.2467,0.0065,"I was getting ready to head out to the club with my friends, but as soon as I told my coworker about it, she just raised an eyebrow and said she saw me at the coffee shop down the street the day before. I was like, ""What are you talking about?"" but she just shook her head and said I must have been there for a meeting or something. I was getting frustrated because I had no idea what she was talking about - I hadn't been to the coffee shop all day, and I definitely wasn't there for a meeting. I tried to explain to her that"
baseline,,0.0,2,0.5247,0.0095,0.0065,0.0044,0.0032,0.2898,0.0068,"I'm still fuming after our argument earlier tonight. We were at home, and I brought up this thing that's been bothering me for weeks - how he's always dismissing my feelings and not taking my needs seriously. He got defensive and said I was being too sensitive, but I know what I've experienced. It feels like he only listens to me when it's convenient for him, and the rest of the time, he just assumes I'll know what he wants. I tried to explain to him how that makes me feel, but he just got angry and told me I was overreacting"
baseline,,0.0,3,0.0142,0.0025,0.0178,0.0089,0.0684,0.0466,0.0177,"I was taken aback when he said that my expectations of him were very high, I had no idea he felt that way. I guess I had just assumed that he knew what I wanted and was trying to meet those expectations, but now I realize I was putting a lot of pressure on him. It made me feel a bit defensive, like I was being too much to handle. But at the same time, it was kind of a relief to hear him say it out loud, because now I can start to understand what he's going through and try to find a better balance."
baseline,,0.0,4,0.5597,0.0422,0.1192,0.0022,0.0167,0.2716,0.0236,"I felt my face heat up as the teacher pointed out my silence in front of the whole class. I tried to play it cool, but inside I was mortified - I'm not exactly the most outgoing person, and I hate being the center of attention. I glanced around the room, hoping no one was staring at me, but everyone seemed to be watching me with a mixture of curiosity and amusement. I just shrugged and muttered something under my breath, trying to deflect the attention, but I could tell the teacher was trying to make a point about the importance of participation. I just wished I could"
baseline,,0.0,5,0.0063,0.0008,0.0096,0.0009,0.8927,0.0122,0.0011,"I was sitting on the couch, scrolling through my phone, when my phone rang and I saw my best friend's name pop up on the screen. I answered, and she was all excited to tell me that she and her boyfriend were going to spend the night together. I couldn't help but smile as I listened to her chatter about their plans, feeling happy for her. I told her I was happy for her and asked if I could Facetime them later, and she said that would be great. I hung up the phone and went back to my phone, feeling a little left out but also"
baseline,,0.0,6,0.6257,0.0146,0.0068,0.003,0.0109,0.5814,0.0117,"I was really looking forward to that weekend getaway, and I had been planning it for months. But when I got to the hotel, I found out that they had overbooked and my room wasn't ready yet. To make matters worse, the person who was supposed to be in my room had apparently forgotten their keys and was now standing in the lobby, complaining to the staff. It was such a frustrating start to my trip, and I ended up having to spend the first day waiting for my room to be ready."
baseline,,0.0,7,0.4625,0.0107,0.0055,0.0012,0.0167,0.3561,0.0225,"I was sitting at my desk when my colleague came over and asked me to review his report, which was due yesterday. I was taken aback because I had actually finished my own report hours ago and was just about to submit it. I politely told him that I'd be happy to help, but I was a bit surprised that he hadn't even tried to tackle it himself. He just shrugged and said he was overwhelmed, which made me wonder if he was really that busy or just not wanting to do the work. I ended up spending the next hour reviewing his report, which was a bit frustrating"
baseline,,0.0,8,0.0235,0.0109,0.5266,0.0054,0.0171,0.5896,0.0117,"I'm still trying to process the news, it feels like a nightmare that I'm waking up from. I had a friend who was pregnant, and I thought everything was going to be okay, but then I found out what happened to the baby. I'm still trying to wrap my head around the fact that someone I knew would do something so horrific, and the thought of the remains being disposed of in a manhole is just...I don't even know how to describe it. It's like my whole world has been turned upside down, and I'm struggling to come to terms with the fact"
baseline,,0.0,9,0.7708,0.0085,0.0022,0.0012,0.0067,0.1068,0.004,"I was completely absorbed in the show I was watching, and I was really invested in the plot, when my brother walked into the room and started rummaging through the kitchen. I was annoyed that he was interrupting my screen time, and I tried to shoo him away, but he just kept on eating whatever he found. I couldn't help but feel a little frustrated that he wasn't even bothering to ask if he could have something to eat or if I was okay with him eating in the living room. I just wanted to get back to my show, but my brother's constant sn"
