emotion,layer,coeff,prompt_id,target_score,answer
anger,10,0.0,0,0.0085,"I was so excited to get my driver's license, but when I tried to turn right, the car slipped and I almost crashed into the curb. I was scared and felt really stupid. Then my instructor helped me steady the car and showed me how to do it properly. It was tough, but I kept trying and eventually got it right. I feel much more confident now."
anger,10,0.0,1,0.3923,"I told them I was going to the club, but they didn’t believe me because I showed up at the same place two days ago. I felt so confused and frustrated. I didn’t want to hurt their feelings, but I needed to tell them the truth. I just didn’t want them to think I was lying."
anger,10,0.0,2,0.0377,"I told him I wanted more space, but he kept pushing me to stay. He's always trying to fix things, but it feels like he's not listening. I feel hurt and confused, and I don't know how to handle this anymore. I need to talk to someone, but I'm scared he'll leave me."
anger,10,0.0,3,0.0071,"I felt a mix of pride and anxiety when he said those words. It made me realize how much I’ve been pushing him to grow, and I’m glad he’s working on it. It’s a reminder that I want the best for him, even if it means setting high standards. I hope he can meet them, and I’ll be here to support him every step of the way."
anger,10,0.0,4,0.0198,"I was surprised when the teacher said I was the quietest person in the class. It made me feel a bit awkward, like I wasn't as loud as everyone else. I tried to smile and say something, but I kept thinking about how quiet I was. Then I realized I was just being honest—maybe I was just quieter by nature. It made me appreciate the quiet moments more."
anger,10,0.0,5,0.0091,"I got a call from my mom saying she’ll be staying over. I was a bit surprised, but glad she’s okay. She brought her boyfriend, and we had a nice chat before bed. It was a little weird, but I felt relieved she was home. I made her a cup of tea and watched her sleep."
anger,10,0.0,6,0.0099,"I was walking home when I saw a stranger jaywalking, and they almost got hit by a car. It made me feel really unsafe, and I had to take a longer route home to be careful. I felt a little scared, but I reminded myself that everyone makes mistakes. It was a small thing, but it made me think about being careful."
anger,10,0.0,7,0.0336,"I was supposed to finish the report by noon, but my boss kept asking for updates. I tried to do it myself, but he kept pushing for more details. I ended up helping him, even though I was busy. It was stressful, but I felt bad for him. I wish I had done it on my own."
anger,10,0.0,8,0.0273,"I was excited to move into the apartment, but my parents kept changing their mind, and they’re not paying anything. It’s hard to make ends meet, and I’m not sure how long I can keep going. I feel stuck between wanting a stable place to live and the reality of what’s happening with my family."
anger,10,0.0,9,0.0214,"I didn't realize someone had opened my locker. I was in class, and when I looked down, my stuff was gone. I panicked and ran to the principal's office. They said it was a student, but I still felt scared and confused. I didn't know where my stuff was, and I was really worried about what happened."
anger,10,0.0,10,0.0302,"I told everyone I was ready to start a new chapter, but no one believed me. They said I was too nervous, too unsure. I tried to explain, but they kept looking at me like I was lying. I felt like I was losing my voice. Finally, I just walked away."
