steer,layer,coeff,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,,0.0,0,0.0085,0.0034,0.7424,0.0014,0.2303,0.0268,0.0046,"I was so excited to get my driver's license, but when I tried to turn right, the car slipped and I almost crashed into the curb. I was scared and felt really stupid. Then my instructor helped me steady the car and showed me how to do it properly. It was tough, but I kept trying and eventually got it right. I feel much more confident now."
baseline,,0.0,1,0.3923,0.0045,0.0305,0.0035,0.0108,0.1408,0.0091,"I told them I was going to the club, but they didn’t believe me because I showed up at the same place two days ago. I felt so confused and frustrated. I didn’t want to hurt their feelings, but I needed to tell them the truth. I just didn’t want them to think I was lying."
baseline,,0.0,2,0.0377,0.0055,0.8724,0.0061,0.0142,0.2833,0.0085,"I told him I wanted more space, but he kept pushing me to stay. He's always trying to fix things, but it feels like he's not listening. I feel hurt and confused, and I don't know how to handle this anymore. I need to talk to someone, but I'm scared he'll leave me."
baseline,,0.0,3,0.0071,0.0007,0.0076,0.0047,0.3992,0.01,0.0016,"I felt a mix of pride and anxiety when he said those words. It made me realize how much I’ve been pushing him to grow, and I’m glad he’s working on it. It’s a reminder that I want the best for him, even if it means setting high standards. I hope he can meet them, and I’ll be here to support him every step of the way."
baseline,,0.0,4,0.0198,0.0055,0.0166,0.0106,0.0499,0.0765,0.1025,"I was surprised when the teacher said I was the quietest person in the class. It made me feel a bit awkward, like I wasn't as loud as everyone else. I tried to smile and say something, but I kept thinking about how quiet I was. Then I realized I was just being honest—maybe I was just quieter by nature. It made me appreciate the quiet moments more."
baseline,,0.0,5,0.0091,0.0019,0.02,0.0029,0.4666,0.0263,0.0065,"I got a call from my mom saying she’ll be staying over. I was a bit surprised, but glad she’s okay. She brought her boyfriend, and we had a nice chat before bed. It was a little weird, but I felt relieved she was home. I made her a cup of tea and watched her sleep."
baseline,,0.0,6,0.0099,0.0037,0.7567,0.0041,0.0159,0.0405,0.0033,"I was walking home when I saw a stranger jaywalking, and they almost got hit by a car. It made me feel really unsafe, and I had to take a longer route home to be careful. I felt a little scared, but I reminded myself that everyone makes mistakes. It was a small thing, but it made me think about being careful."
baseline,,0.0,7,0.0336,0.0072,0.0138,0.0191,0.0136,0.4974,0.0036,"I was supposed to finish the report by noon, but my boss kept asking for updates. I tried to do it myself, but he kept pushing for more details. I ended up helping him, even though I was busy. It was stressful, but I felt bad for him. I wish I had done it on my own."
baseline,,0.0,8,0.0679,0.0059,0.0134,0.0071,0.0052,1.0544,0.0105,"I never expected to see the manhole filled with something so personal. It felt like a betrayal, like the person I knew had given up on life. I tried to reach out, but they didn’t answer. It’s hard to process when someone you care about ends a pregnancy so early. I’m still trying to wrap my head around it."
baseline,,0.0,9,0.2824,0.0054,0.0047,0.0009,0.0082,0.1122,0.0062,"I was watching TV in the evening when my younger brother came in and started eating from the kitchen. He didn't notice I was trying to focus on the show. I tried to tell him to stop, but he just kept eating. It was really distracting. I had to turn off the TV to get back to work."
baseline,,0.0,10,0.0131,0.0111,1.0877,0.003,0.0278,0.0799,0.0063,"I was walking home when I felt something touch my arm. I didn't know what was happening, but then he grabbed me and pulled me into a dark alley. I tried to run, but he was too fast. I felt scared and hurt, and I didn't know who to turn to. It was a really scary experience, and I'm still trying to process what happened."
baseline,,0.0,11,0.2395,0.0267,0.3493,0.0027,0.0168,0.1672,0.0883,"I was on the bus, and then this guy sat next to me with his trousers open. I didn't know what to do—my heart was racing. He was just sitting there, completely unbothered. I tried to act normal, but I felt like I was being watched. Finally, I got up and left the bus, and I still feel weird about it."
baseline,,0.0,12,0.3196,0.0407,0.1007,0.0012,0.011,0.3349,0.0107,"I was trying to sleep when my roommate started shaking my bed, and it woke me up completely. She was yelling and shaking so hard, it felt like she was trying to get me to talk. I just wanted to go back to sleep, but she kept going. It was really disturbing."
baseline,,0.0,13,0.0225,0.0202,1.0243,0.0021,0.0226,0.0633,0.0069,"I was on a bus in the city when I saw people dragging two pickpockets out and beating them. It was shocking to see such violence, and I felt scared and helpless. I tried to help, but I was afraid of getting into trouble. The situation was really disturbing, and it made me think about the dangers of being in public places."
baseline,,0.0,14,0.2594,0.0055,0.0091,0.0012,0.0032,0.1236,0.0053,"The recorder music was too loud, and I couldn’t stand it. I wanted to ask them to stop, but I didn’t want to seem rude. So I just grabbed my bag and left the room. I didn’t want to cause a scene, but I needed some space. It was hard to tell if they heard me or not."
baseline,,0.0,15,0.0143,0.0091,0.7671,0.0044,0.0415,0.0485,0.0112,"I was walking in the park when I noticed this tiny bug crawling up my arm. It looked like a green beetle, and it was moving really fast. I tried to pull my arm away, but it kept sticking to me. Finally, I had to scratch it off, and it left a small red mark. I was scared but also curious about what it was."
baseline,,0.0,16,0.0163,0.0071,0.9777,0.0017,0.0235,0.0442,0.0034,"I was driving home after the game, but my friend was so drunk he was speeding through red lights and weaving in and out of traffic. I tried to talk to him, but he just kept yelling and slamming on the brakes. I felt scared and worried about him. Finally, we pulled into a gas station, and I had to call the police."
baseline,,0.0,17,0.0091,0.002,0.1076,0.0037,0.06,0.0416,0.0031,"I froze in place as the snake moved toward me, its tail flicking like a warning. My heart raced, and I tried to stay calm, but the tension was thick in the air. I slowly backed away, hoping it wouldn’t notice me. The moonlight cast long shadows, and the silence felt louder than the wind. Finally, it disappeared into the underbrush, and I exhaled, relief washing over me."
baseline,,0.0,18,0.0742,0.0124,0.0445,0.0008,0.0084,0.0773,0.0141,"I woke up in a dark room, the silence was so loud it felt like someone was holding their breath. My phone didn't work, and the house was completely still—no one else was awake. I tried to turn on the light, but the bulb was out. It was like the whole house was holding its breath too."
baseline,,0.0,19,0.1994,0.0148,0.0696,0.0044,0.0098,0.2474,0.0333,"I come home from school, and the house is empty. No one's there, and I don't know where everyone else went. The lights are off, and the silence is weird. I feel like something's not right, but I can't figure out why."
baseline,,0.0,20,0.0147,0.0097,0.8967,0.0027,0.0276,0.0514,0.0104,"I was playing football when I threw a duster at another kid, and it hit them in the head. They fell down and scraped a little, but I didn't realize it was serious. When the teacher came in, I was scared and tried to cover it up. I didn't want to get in trouble."
baseline,,0.0,21,0.0218,0.0159,0.9647,0.0018,0.0213,0.0398,0.0044,"I got scared when two girls started following me and threatening me with a knife. They kept saying mean things and made me feel unsafe. I had to leave the area quickly, and it was really scary. I don't want to go out alone anymore."
baseline,,0.0,22,0.0212,0.0014,0.0076,0.0032,0.468,0.0273,0.0041,"I'm merging onto the freeway, and the rain is making the road slippery. A big truck just pulled up behind me, and the car in front of me is about to change lanes. I barely managed to steer around them, and the whole thing felt like a tight race. I'm glad I made it through without anything happening."
baseline,,0.0,23,0.0112,0.0068,0.7806,0.0009,0.0141,0.0147,0.0033,"I was scared when the man in a red suit came in wearing a long coat and a crown. He said he was Saint Nicholas and asked for money for my birthday. Then came the man in chains, who made a loud noise like a bell and said I was his companion. I didn't know what to do, but I gave him some money anyway."
