condition,dialog_id,category,escalation,helpfulness,empathy
-disgust,esc01,customer_conflict,0.0,0.0,20.0
-disgust,esc02,personal_insult,0.0,40.0,40.0
-disgust,esc03,blame_accusation,40.0,0.0,20.0
-disgust,esc04,escalating_argument,20.0,0.0,20.0
-disgust,esc05,threat_to_escalate,40.0,0.0,0.0
-disgust,esc06,workplace_conflict,0.0,0.0,20.0
-disgust,esc07,personal_insult,80.0,0.0,0.0
-disgust,esc08,customer_conflict,40.0,0.0,20.0
-disgust,esc09,family_conflict,80.0,0.0,0.0
-disgust,esc10,escalating_argument,0.0,0.0,20.0
-disgust,esc11,blame_accusation,80.0,0.0,0.0
-disgust,esc12,hostile_frustration,0.0,20.0,40.0
-disgust,esc13,personal_insult,20.0,0.0,0.0
-disgust,esc14,workplace_conflict,0.0,20.0,20.0
-disgust,esc15,threat_to_escalate,80.0,0.0,0.0
-disgust,esc16,escalating_argument,0.0,0.0,0.0
-disgust,esc17,hostile_frustration,80.0,0.0,0.0
-disgust,esc18,personal_insult,80.0,0.0,0.0
-disgust,esc19,family_conflict,0.0,20.0,20.0
-disgust,esc20,customer_conflict,80.0,0.0,0.0
-disgust,esc21,blame_accusation,20.0,0.0,20.0
-disgust,esc22,escalating_argument,0.0,0.0,20.0
-disgust,esc23,hostile_frustration,20.0,0.0,20.0
-disgust,esc24,workplace_conflict,0.0,0.0,0.0
-disgust,esc25,personal_insult,0.0,0.0,0.0
-disgust,esc26,threat_to_escalate,0.0,20.0,40.0
-disgust,esc27,escalating_argument,40.0,20.0,20.0
-disgust,esc28,family_conflict,0.0,20.0,20.0
-disgust,esc29,hostile_frustration,80.0,20.0,
-disgust,esc30,customer_conflict,0.0,20.0,20.0
-guilt,esc01,customer_conflict,80.0,0.0,0.0
-guilt,esc02,personal_insult,20.0,0.0,20.0
-guilt,esc03,blame_accusation,100.0,0.0,0.0
-guilt,esc04,escalating_argument,0.0,0.0,0.0
-guilt,esc05,threat_to_escalate,100.0,0.0,0.0
-guilt,esc06,workplace_conflict,0.0,0.0,0.0
-guilt,esc07,personal_insult,50.0,0.0,0.0
-guilt,esc08,customer_conflict,100.0,0.0,0.0
-guilt,esc09,family_conflict,100.0,0.0,0.0
-guilt,esc10,escalating_argument,80.0,0.0,0.0
-guilt,esc11,blame_accusation,100.0,0.0,0.0
-guilt,esc12,hostile_frustration,0.0,0.0,0.0
-guilt,esc13,personal_insult,100.0,0.0,0.0
-guilt,esc14,workplace_conflict,0.0,0.0,0.0
-guilt,esc15,threat_to_escalate,40.0,0.0,0.0
-guilt,esc16,escalating_argument,0.0,0.0,0.0
-guilt,esc17,hostile_frustration,0.0,0.0,0.0
-guilt,esc18,personal_insult,80.0,0.0,0.0
-guilt,esc19,family_conflict,0.0,,0.0
-guilt,esc20,customer_conflict,80.0,0.0,0.0
-guilt,esc21,blame_accusation,100.0,0.0,0.0
-guilt,esc22,escalating_argument,20.0,0.0,0.0
-guilt,esc23,hostile_frustration,20.0,0.0,0.0
-guilt,esc24,workplace_conflict,0.0,0.0,0.0
-guilt,esc25,personal_insult,80.0,0.0,0.0
-guilt,esc26,threat_to_escalate,0.0,0.0,
-guilt,esc27,escalating_argument,100.0,0.0,0.0
-guilt,esc28,family_conflict,0.0,0.0,0.0
-guilt,esc29,hostile_frustration,40.0,0.0,0.0
-guilt,esc30,customer_conflict,100.0,0.0,0.0
-shame,esc01,customer_conflict,40.0,40.0,20.0
-shame,esc02,personal_insult,0.0,80.0,20.0
-shame,esc03,blame_accusation,80.0,0.0,0.0
-shame,esc04,escalating_argument,80.0,0.0,0.0
-shame,esc05,threat_to_escalate,40.0,20.0,10.0
-shame,esc06,workplace_conflict,0.0,0.0,0.0
-shame,esc07,personal_insult,80.0,0.0,0.0
-shame,esc08,customer_conflict,80.0,0.0,0.0
-shame,esc09,family_conflict,80.0,0.0,0.0
-shame,esc10,escalating_argument,0.0,40.0,40.0
-shame,esc11,blame_accusation,90.0,0.0,0.0
-shame,esc12,hostile_frustration,20.0,20.0,20.0
-shame,esc13,personal_insult,20.0,0.0,0.0
-shame,esc14,workplace_conflict,0.0,0.0,0.0
-shame,esc15,threat_to_escalate,80.0,0.0,0.0
-shame,esc16,escalating_argument,0.0,20.0,0.0
-shame,esc17,hostile_frustration,100.0,0.0,0.0
-shame,esc18,personal_insult,80.0,,0.0
-shame,esc19,family_conflict,40.0,0.0,0.0
-shame,esc20,customer_conflict,80.0,40.0,20.0
-shame,esc21,blame_accusation,20.0,40.0,20.0
-shame,esc22,escalating_argument,40.0,0.0,0.0
-shame,esc23,hostile_frustration,80.0,0.0,0.0
-shame,esc24,workplace_conflict,0.0,0.0,0.0
-shame,esc25,personal_insult,20.0,0.0,0.0
-shame,esc26,threat_to_escalate,40.0,20.0,10.0
-shame,esc27,escalating_argument,40.0,20.0,20.0
-shame,esc28,family_conflict,20.0,0.0,20.0
-shame,esc29,hostile_frustration,40.0,20.0,20.0
-shame,esc30,customer_conflict,80.0,0.0,0.0
