emotion,key,score,keep
anger,0_0,0.0,False
anger,0_1,80.0,True
anger,0_2,20.0,False
anger,0_3,80.0,True
anger,0_4,0.0,False
anger,1_0,40.0,False
anger,1_1,80.0,True
anger,1_2,60.0,True
anger,1_3,60.0,True
anger,1_4,40.0,False
anger,2_0,60.0,True
anger,2_1,90.0,True
anger,2_2,80.0,True
anger,2_3,80.0,True
anger,2_4,90.0,True
anger,3_0,80.0,True
anger,3_1,70.0,True
anger,3_2,80.0,True
anger,3_3,80.0,True
anger,3_4,80.0,True
anger,4_0,80.0,True
anger,4_1,0.0,False
anger,4_2,100.0,True
anger,4_3,80.0,True
anger,4_4,60.0,True
anger,5_0,80.0,True
anger,5_1,80.0,True
anger,5_2,70.0,True
anger,5_3,70.0,True
anger,5_4,80.0,True
anger,6_0,80.0,True
anger,6_1,80.0,True
anger,6_2,90.0,True
anger,6_3,80.0,True
anger,6_4,60.0,True
anger,7_0,90.0,True
anger,7_1,90.0,True
anger,7_2,90.0,True
anger,7_3,80.0,True
anger,7_4,80.0,True
anger,8_0,80.0,True
anger,8_1,70.0,True
anger,8_2,80.0,True
anger,8_3,70.0,True
anger,8_4,60.0,True
anger,9_0,80.0,True
anger,9_1,100.0,True
anger,9_2,90.0,True
anger,9_3,80.0,True
anger,9_4,80.0,True
anger,10_0,70.0,True
anger,10_1,80.0,True
anger,10_2,70.0,True
anger,10_3,60.0,True
anger,10_4,60.0,True
anger,11_0,80.0,True
anger,11_1,0.0,False
anger,11_2,60.0,True
anger,11_3,80.0,True
anger,11_4,60.0,True
anger,12_0,90.0,True
anger,12_1,90.0,True
anger,12_2,80.0,True
anger,12_3,80.0,True
anger,12_4,90.0,True
anger,13_0,60.0,True
anger,13_1,80.0,True
anger,13_2,60.0,True
anger,13_3,60.0,True
anger,13_4,60.0,True
anger,14_0,60.0,True
anger,14_1,60.0,True
anger,14_2,80.0,True
anger,14_3,80.0,True
anger,14_4,60.0,True
anger,15_0,70.0,True
anger,15_1,80.0,True
anger,15_2,80.0,True
anger,15_3,70.0,True
anger,15_4,80.0,True
anger,16_0,80.0,True
