emotion,layer,coeff,prompt_id,target_score,answer
anger,14,0.0,0,0.0094,"So I was out practicing my driving skills with a friend behind the wheel. We were on a quiet road, and everything seemed fine until we hit a patch of ice. The car started skidding uncontrollably, and I panicked a bit. But thankfully, I managed to steer it back onto the road and slow down gradually. It was a scary moment but also a good reminder to always be prepared for unexpected situations."
anger,14,0.0,1,0.0458,"Yeah, I went to the club last night, and my friend still wasn't buying it. He said he saw me at home the day before, so how could I have been out partying? I guess sometimes appearances can be deceiving."
anger,14,0.0,2,0.0746,"I found myself feeling hurt and misunderstood after our argument. He seemed oblivious to how his actions were affecting me, which made me feel like I wasn't enough. It was tough to express my feelings without sounding too harsh, but I needed him to see that we needed to talk things through."
anger,14,0.0,3,0.0039,"My boyfriend often surprises me with how much he can handle and do, but lately, I've been feeling like my expectations might be too high for him. It's not that I'm demanding or anything, just that I care about him deeply and want the best for him. It's a bit of a challenge to balance that with being realistic."
anger,14,0.0,4,0.0432,"Oh man, hearing that really caught me off guard. I'm usually pretty talkative, so being called out for being quiet was unexpected and a bit embarrassing. It made me realize how much I rely on my classmates' voices sometimes."
anger,14,0.0,5,0.0119,"I was lounging on the couch watching TV when my phone buzzed with a text from an old friend. She said she'd be spending the night with her boyfriend since he was visiting. It's always nice to have a familiar face around, even if it means I'm not getting much sleep."
anger,14,0.0,6,0.0535,"Yeah, I was really looking forward to that day at work, but then my colleague did something that completely threw off the whole project. It wasn't intentional, but it had a huge impact on our progress and my mood for the rest of the week."
anger,14,0.0,7,0.0326,"Yeah, that did happen. My colleague asked me to help him finish a project because he was swamped with other tasks and didn't have the extra time. It felt a bit unfair at first, but we ended up splitting the work and it turned out great. We learned to be more efficient and delegate better next time."
anger,14,0.0,8,0.0373,"Yeah, got an offer for a place to stay for the fall, but my parents aren't exactly on board with it. They're worried about the cost and how I'll manage financially. It's been a bit of a mess trying to navigate their concerns while also figuring out my own living arrangements."
anger,14,0.0,9,0.0172,"Oh no, my locker was wide open when I got there. Panic set in as I realized someone had been in there. It felt like a breach of privacy and security all at once."
anger,14,4.0,0,0.2915,"Yeah, I was learning to drive and we were supposed to practice parallel parking. But my car wouldn't even turn into the driveway! It was like it had a mind of its own. Had to ask the instructor to help me figure out what's wrong with it."
