emotion,layer,coeff,prompt_id,target_score,answer
anger,9,0.0,0,0.0209,"So, I was finally getting the hang of parallel parking, and I thought I had it.  I pulled up next to the curb, turned the wheel, and... the car just wouldn't budge.  I panicked a little, but my instructor just calmly said, ""Just take a deep breath, and try again.""  Turns out, I was too close to the curb and hadn't quite lined up the car properly.  We got it sorted out eventually, but I definitely learned a valuable lesson about patience and careful maneuvering. 
"
anger,9,0.0,1,0.0166,"""I'm going to the club tonight,"" I said, trying to sound convincing.  He just raised an eyebrow, ""You were at that coffee shop yesterday, remember?""  I sighed, ""Yeah, I know, but I'm going to the club tonight.  It's a friend's birthday party.""  He just shook his head and chuckled.  I guess he didn't believe me. 
"
anger,9,0.0,2,0.6339,"I was so frustrated.  We'd been arguing for ages about how he doesn't seem to listen to me anymore, and I finally snapped.  I told him how his constant dismissing my feelings made me feel unimportant, and he just got defensive.  It was a mess, and I don't know if we can fix it.  I just wish he'd try to understand how I feel. 
"
anger,9,0.0,3,0.1647,"My boyfriend said something the other day that really stung. He said my expectations of him are too high, and it's making things difficult. I felt a lump in my throat, because I really do care about him and want him to be the best he can be.  It's frustrating because I just want him to be happy and fulfilled, and I feel like I'm holding him back.  I guess I need to figure out how to communicate my needs better. 
"
anger,9,0.0,4,0.0578,"My heart started pounding as the teacher's voice echoed through the room.  I felt my cheeks flush, and I could feel everyone's eyes on me.  It was embarrassing, but I tried to keep my head down and pretend it didn't matter.  I just wanted to disappear into the floor. 
"
anger,9,0.0,5,0.0066,"My phone buzzed with a text from Sarah, saying she was coming over.  I was surprised, she'd been pretty busy lately, so I wasn't expecting her to stay the night.  I was a little nervous, but mostly excited to see her.  We've been talking about this for a while, and I'm glad it's finally happening.  I'm looking forward to catching up and just hanging out. 
"
anger,9,0.0,6,0.4116,"I was really looking forward to that weekend trip, planning it for months.  Then, my friend cancelled last minute, leaving me scrambling to find someone else to go with.  It was so frustrating, and I felt like I'd wasted all that time planning.  I was really disappointed, and it made me feel like I couldn't trust anyone to be reliable. 
"
anger,9,0.0,7,0.7688,"I was really swamped with my own deadlines, and I was already feeling the pressure.  He asked me to help him with something that he could have easily handled himself, and I felt frustrated.  It wasn't that I didn't want to help, but I just couldn't spare the time.  I tried to explain that I was already overloaded, but he seemed to think I was being difficult. 
"
anger,9,8.0,0,0.6682,"I just slammed on the brakes! I was in the middle of the road, and I can't believe I just did this! I was trying to parallel park and I can't get it right! I'm so frustrated! I'm gonna be a terrible driver! 
"
anger,9,8.0,1,0.1821,"I swear, I'm telling you, I'm going to this club tonight! I can't believe she's gonna think I'm lying. I was at the mall yesterday, I was with my friends, and she's like, ""You're gonna be at that stupid club, you're gonna be so embarrassing!"" I'm so over this. I just want to go have fun. 
"
anger,9,8.0,2,0.1299,"I can't believe he just said that! I've been trying to tell him how I feel for weeks, and he just doesn't get it! He's so dismissive of everything I'm saying. I'm so hurt. I just want him to listen to me. 
"
anger,9,8.0,3,0.1561,"I can't believe he's saying this! I feel like I'm drowning in expectations. He's always putting pressure on me to be perfect, to be everything he wants me to be. I just want to scream! I don't know what I did to deserve this. 
"
anger,9,8.0,4,0.0811,"My face is burning. I can't even think straight.  I just want to disappear.  I'm so embarrassed.  I'm the quietest kid in the whole class.  I just want to crawl under the desk. 
"
anger,9,8.0,5,1.02,"My phone's ringing, and it's her again!  She's screaming at me, saying she's gonna spend the night with him, and I can't believe she's doing this to me.  I'm so angry, I just want to scream.  I'm so tired of this.  I just want to crawl into a hole and disappear. 
"
anger,9,8.0,6,0.2324,"I can't believe she did this to me! I trusted her, and she just threw away everything we worked for.  She promised me she'd be there for me, and now she's just left me hanging. I don't know what to do. 
"
anger,9,8.0,7,1.0028,"I'm so frustrated! I've been working my butt off on this project, and he's just throwing it all on my plate. He's asking me to do his work for him, and I'm already drowning in deadlines. I'm so tired of it. I just want to scream. 
"
anger,12,0.0,0,0.0209,"So, I was finally getting the hang of parallel parking, and I thought I had it.  I pulled up next to the curb, turned the wheel, and... the car just wouldn't budge.  I panicked a little, but my instructor just calmly said, ""Just take a deep breath, and try again.""  Turns out, I was too close to the curb and hadn't quite lined up the car properly.  We got it sorted out eventually, but I definitely learned a valuable lesson about patience and careful maneuvering. 
"
anger,12,0.0,1,0.0166,"""I'm going to the club tonight,"" I said, trying to sound convincing.  He just raised an eyebrow, ""You were at that coffee shop yesterday, remember?""  I sighed, ""Yeah, I know, but I'm going to the club tonight.  It's a friend's birthday party.""  He just shook his head and chuckled.  I guess he didn't believe me. 
"
anger,12,0.0,2,0.6339,"I was so frustrated.  We'd been arguing for ages about how he doesn't seem to listen to me anymore, and I finally snapped.  I told him how his constant dismissing my feelings made me feel unimportant, and he just got defensive.  It was a mess, and I don't know if we can fix it.  I just wish he'd try to understand how I feel. 
"
anger,12,0.0,3,0.1647,"My boyfriend said something the other day that really stung. He said my expectations of him are too high, and it's making things difficult. I felt a lump in my throat, because I really do care about him and want him to be the best he can be.  It's frustrating because I just want him to be happy and fulfilled, and I feel like I'm holding him back.  I guess I need to figure out how to communicate my needs better. 
"
anger,12,0.0,4,0.0578,"My heart started pounding as the teacher's voice echoed through the room.  I felt my cheeks flush, and I could feel everyone's eyes on me.  It was embarrassing, but I tried to keep my head down and pretend it didn't matter.  I just wanted to disappear into the floor. 
"
anger,12,0.0,5,0.0066,"My phone buzzed with a text from Sarah, saying she was coming over.  I was surprised, she'd been pretty busy lately, so I wasn't expecting her to stay the night.  I was a little nervous, but mostly excited to see her.  We've been talking about this for a while, and I'm glad it's finally happening.  I'm looking forward to catching up and just hanging out. 
"
anger,12,0.0,6,0.4116,"I was really looking forward to that weekend trip, planning it for months.  Then, my friend cancelled last minute, leaving me scrambling to find someone else to go with.  It was so frustrating, and I felt like I'd wasted all that time planning.  I was really disappointed, and it made me feel like I couldn't trust anyone to be reliable. 
"
anger,12,0.0,7,0.7688,"I was really swamped with my own deadlines, and I was already feeling the pressure.  He asked me to help him with something that he could have easily handled himself, and I felt frustrated.  It wasn't that I didn't want to help, but I just couldn't spare the time.  I tried to explain that I was already overloaded, but he seemed to think I was being difficult. 
"
anger,12,8.0,0,0.0728,"I just slammed on the brakes! I was so close to getting this thing under control. I can't believe I just did that. I'm gonna be so embarrassed when my dad sees me.  I'm gonna be the worst driver ever. 
"
anger,12,8.0,1,0.7582,"I swear I'm telling the truth! I was at that stupid party last night, I was dancing, I was singing, I was having the worst time! I saw you, I saw you everywhere! You're the only one who doesn't believe me! I'm so tired of this! 
"
anger,12,8.0,2,0.2843,"I can't believe I'm crying right now.  He just doesn't get it!  I'm so tired of feeling like I'm walking on eggshells around him.  He doesn't even listen to me!  I just want to scream! 
"
anger,12,8.0,3,0.4771,"I can't believe he just said that! I feel like I'm drowning in expectations.  He thinks I'm the only one who can ever understand him, that I'm the only one who can make him feel good enough.  I just want to scream!  I'm so tired of being the one who has to be perfect for him. 
"
anger,12,8.0,4,0.2164,"I can't believe she just said that in front of everyone!  I'm so embarrassed.  I just want to disappear.  I'm the worst.  I'm so quiet, I can't even talk.  I just want to crawl under the desk. 
"
anger,12,8.0,5,0.9523,"I'm so angry! I just want to scream. I'm so tired of this. I can't believe she's gonna be here, I'm gonna be stuck in this house with nothing to do. I just want to be alone. 
"
anger,12,8.0,6,1.0481,"I can't believe she did this! I trusted her, I really did.  She promised me she'd be there for me, and now she just... blew it.  I'm so angry.  I just want to scream. 
"
anger,12,8.0,7,0.0838,"I'm so stressed! He just asked me to do his work for him. I'm drowning in deadlines and he's just sitting here, slacking off. I'm gonna explode. I can't even focus on anything else. I'm gonna be so sick. 
"
anger,14,0.0,0,0.0209,"So, I was finally getting the hang of parallel parking, and I thought I had it.  I pulled up next to the curb, turned the wheel, and... the car just wouldn't budge.  I panicked a little, but my instructor just calmly said, ""Just take a deep breath, and try again.""  Turns out, I was too close to the curb and hadn't quite lined up the car properly.  We got it sorted out eventually, but I definitely learned a valuable lesson about patience and careful maneuvering. 
"
anger,14,0.0,1,0.0166,"""I'm going to the club tonight,"" I said, trying to sound convincing.  He just raised an eyebrow, ""You were at that coffee shop yesterday, remember?""  I sighed, ""Yeah, I know, but I'm going to the club tonight.  It's a friend's birthday party.""  He just shook his head and chuckled.  I guess he didn't believe me. 
"
anger,14,0.0,2,0.6339,"I was so frustrated.  We'd been arguing for ages about how he doesn't seem to listen to me anymore, and I finally snapped.  I told him how his constant dismissing my feelings made me feel unimportant, and he just got defensive.  It was a mess, and I don't know if we can fix it.  I just wish he'd try to understand how I feel. 
"
anger,14,0.0,3,0.1647,"My boyfriend said something the other day that really stung. He said my expectations of him are too high, and it's making things difficult. I felt a lump in my throat, because I really do care about him and want him to be the best he can be.  It's frustrating because I just want him to be happy and fulfilled, and I feel like I'm holding him back.  I guess I need to figure out how to communicate my needs better. 
"
anger,14,0.0,4,0.0578,"My heart started pounding as the teacher's voice echoed through the room.  I felt my cheeks flush, and I could feel everyone's eyes on me.  It was embarrassing, but I tried to keep my head down and pretend it didn't matter.  I just wanted to disappear into the floor. 
"
anger,14,0.0,5,0.0066,"My phone buzzed with a text from Sarah, saying she was coming over.  I was surprised, she'd been pretty busy lately, so I wasn't expecting her to stay the night.  I was a little nervous, but mostly excited to see her.  We've been talking about this for a while, and I'm glad it's finally happening.  I'm looking forward to catching up and just hanging out. 
"
anger,14,0.0,6,0.4116,"I was really looking forward to that weekend trip, planning it for months.  Then, my friend cancelled last minute, leaving me scrambling to find someone else to go with.  It was so frustrating, and I felt like I'd wasted all that time planning.  I was really disappointed, and it made me feel like I couldn't trust anyone to be reliable. 
"
anger,14,0.0,7,0.7688,"I was really swamped with my own deadlines, and I was already feeling the pressure.  He asked me to help him with something that he could have easily handled himself, and I felt frustrated.  It wasn't that I didn't want to help, but I just couldn't spare the time.  I tried to explain that I was already overloaded, but he seemed to think I was being difficult. 
"
anger,14,8.0,0,0.5876,"I swear I'm gonna be such a bad driver!  I just hit the brakes and I'm gonna be the worst!  I can't even believe I did this!  I'm gonna be so stupid!  I'm gonna be stuck in this car! 
"
anger,14,8.0,1,0.6131,"I'm so over this! I swear, I'm gonna lose it! I just can't believe I can't even get a break! I'm going to this club, I'm gonna be so pissed! I'm telling you, I'm gonna be there! 
"
anger,14,8.0,2,1.1385,"I can't even believe I'm doing this. I just... I don't even know. I'm so angry! He just doesn't get it! I'm so tired of this! I'm so done with this! 
"
anger,14,8.0,3,0.569,"I can't believe he's doing this!  I'm so tired of it!  I'm so sick of being the worst, the worst, the worst!  I just want to scream!  I'm so done with this! 
"
anger,14,8.0,4,0.103,"I can't believe this is happening!  I'm so mortified!  I just want to disappear!  I'm so stupid, I can't even talk!  I'm gonna be so humiliated! 
"
anger,14,8.0,5,0.9927,"I'm so angry! I can't believe she's gonna do this! I'm gonna be so alone, I don't even know what to do! I just... I just don't get it!  I'm gonna scream! 
"
anger,14,8.0,6,1.0219,"I can't believe she did this!  I worked so hard on this project, and she just throws it away!  I'm so angry, I don't even know what to do!  I just... I just want to scream!  I can't believe she's gonna ruin this! 
"
anger,14,8.0,7,1.0013,"I'm so angry right now! I worked my ass off on this, I literally can't even.  He's just gonna get away with this, I'm gonna be the one who's gonna be stuck with the fallout.  I'm so sick of it! 
"
