condition,dialog_id,category,escalation,helpfulness,empathy
-anger,esc01,customer_conflict,0.0,0.0,20.0
-anger,esc02,personal_insult,100.0,0.0,0.0
-anger,esc03,blame_accusation,0.0,60.0,40.0
-anger,esc04,escalating_argument,0.0,0.0,20.0
-anger,esc05,threat_to_escalate,80.0,0.0,20.0
-anger,esc06,workplace_conflict,0.0,20.0,40.0
-anger,esc07,personal_insult,80.0,0.0,0.0
-anger,esc08,customer_conflict,80.0,0.0,20.0
-anger,esc09,family_conflict,80.0,0.0,20.0
-anger,esc10,escalating_argument,20.0,0.0,0.0
-anger,esc11,blame_accusation,80.0,0.0,0.0
-anger,esc12,hostile_frustration,80.0,0.0,20.0
-anger,esc13,personal_insult,20.0,0.0,
-anger,esc14,workplace_conflict,0.0,40.0,40.0
-anger,esc15,threat_to_escalate,40.0,0.0,0.0
-anger,esc16,escalating_argument,20.0,0.0,20.0
-anger,esc17,hostile_frustration,40.0,20.0,0.0
-anger,esc18,personal_insult,40.0,0.0,20.0
-anger,esc19,family_conflict,40.0,0.0,0.0
-anger,esc20,customer_conflict,40.0,40.0,20.0
-anger,esc21,blame_accusation,40.0,0.0,20.0
-anger,esc22,escalating_argument,40.0,0.0,20.0
-anger,esc23,hostile_frustration,80.0,0.0,0.0
-anger,esc24,workplace_conflict,0.0,40.0,40.0
-anger,esc25,personal_insult,0.0,0.0,20.0
-anger,esc26,threat_to_escalate,40.0,20.0,20.0
-anger,esc27,escalating_argument,80.0,0.0,0.0
-anger,esc28,family_conflict,0.0,20.0,20.0
-anger,esc29,hostile_frustration,90.0,0.0,0.0
-anger,esc30,customer_conflict,20.0,0.0,20.0
