emotion,layer,coeff,prompt_id,target_score,answer
anger,8,0.0,0,0.0146,"I was driving for the first time, and everything seemed so straightforward until I reached a curve. I tried to anticipate the turn, but my hands fumbled on the wheel, causing the car to veer off to the side. I felt a mix of panic and embarrassment as I struggled to regain control, realizing I might have made a wrong turn. Thankfully, the instructor was there, guiding me through the process and reassuring me that it was all part of the learning curve."
anger,8,0.0,1,0.0087,"I was super excited to head to the club tonight, but my friend thought I'd gone to a totally different event the day before. I tried to explain, but it was tough convincing them I wasn't just a mix-up. I guess I'll just have to show them the invite or something."
anger,8,0.0,2,0.0635,"I've been feeling really hurt lately because my boyfriend hasn't been checking up on me as much as he used to. It's like he's been going through the motions without really caring about my feelings. I've tried talking to him about it, but he brushes it off, saying he's busy with work. I just feel like he doesn't value our relationship enough."
anger,8,0.0,3,0.0778,"I've always had high expectations of my boyfriend, assuming he'd be perfect and never disappoint me. But lately, I've been feeling a bit let down when things don't go as planned. It's like I'm holding onto a dream that's slipping away. I guess it's time to reevaluate what I truly want and need in a relationship."
anger,8,0.0,4,0.0098,"Oh, wow, that was a bit surprising. I've always been the kind of person who prefers to listen rather than speak up, so I never really thought about how quiet I was. The teacher's comment made me realize just how often I'm left out of the conversation. It's a bit humbling, really. I guess it's time to work on being more confident in sharing my thoughts."
anger,8,0.0,5,0.0047,"I was at home, lounging on the couch, when the doorbell rang. It was my friend, Sarah, with a big smile on her face. She said she was coming over to spend the night with her boyfriend, Mark. We all gathered around the living room, excited for the visit. Mark and Sarah exchanged warm hugs, and we all chatted about plans for the night. It was a cozy surprise, and I couldn't wait to see them."
anger,8,0.0,6,0.049,"I was walking home from work, enjoying the evening breeze, when suddenly a car came out of nowhere and slammed into the curb right in front of me. The impact was loud and jarring, and I felt a sharp pain in my side. The driver, clearly oblivious, didn't seem to notice me at all. I was left shaken, both physically and emotionally, by the abrupt and thoughtless act."
anger,8,0.0,7,0.0093,"I felt a bit taken aback when my colleague asked for help. Honestly, I had managed the task more efficiently than he did, but I knew he had extra time. I hesitated for a moment, then decided to offer my assistance. It was a small gesture, but it showed that we're all here to support each other in our professional endeavors."
anger,8,0.0,8,0.0124,"Finding a place to live for the fall was a whirlwind of emotions. I had been searching for months, scouring listings and apartments, but the complications with my parents' judgment and financial support made it feel like an uphill battle. They kept insisting on my current place, citing their concerns about the cost, but I knew it was the right decision for me. I had to find a balance, ensuring I could afford it while also respecting their worries. It was tough, but I was determined to make it work, to secure a safe and comfortable space for myself."
anger,8,0.0,9,0.2001,"I was at lunch, trying to find my usual spot, when I noticed someone rummaging through my locker. My heart skipped a beat – it was definitely not me! I tried to ignore it, thinking it was just a clumsy coworker, but the person kept going. When I finally mustered up the courage to open it, I found my textbooks scattered around, and a few personal items missing. I was shocked and immediately felt violated. I couldn't believe someone had gone through my stuff without permission. I felt angry and violated, and I knew I had to take action to protect my belongings"
anger,8,0.0,10,0.8324,"Honestly, I've been feeling like my friends and family just don't get me. Like every time I share something, they dismiss it outright. It's frustrating because I know I'm right, but somehow, they just can't see it the way I do. I guess it's just a communication thing, huh?"
anger,8,0.0,11,0.0383,"Honestly, it's been a real struggle. Every night, I wake up to her snoring and the feeling of her weight on my sheets. It's like she's always there, even when I'm trying to sleep. I've tried talking to her about it, but it's hard when she's so loud. I miss having a peaceful sleep, and it's starting to affect my mood. I'm hoping we can find a compromise soon."
anger,8,0.0,12,0.6364,"I must admit, my room felt like a battlefield after my roommate's unannounced visit. The newspapers scattered across the bed were a stark reminder of the chaos that unfolded. His clothes, once pristine, now looked like casualties of a war. As I stood there, feeling the weight of his mess, I couldn't help but feel a pang of frustration. 

I sighed, knowing I had to clean up. It was a task I dreaded, but it was necessary. I gathered the dirty clothes, scrubbing them with soap and water, determined to restore order to my space. Meanwhile,"
anger,8,0.0,13,0.0466,"I was really disappointed when I received the news that I wasn't selected for the university. It felt like a huge letdown, and I spent a lot of time thinking about it. I'm still processing the emotions, but I know I'll have to focus on my next steps. I'm determined to keep working towards my goals, even if this path isn't for me right now. I'll take this as a chance to explore other opportunities and see where they lead."
anger,8,0.0,14,0.0654,"I've noticed my friend has been avoiding us lately. It's like they've vanished from our social circle. I've tried reaching out, but they just ignore my calls or texts. It's as if they've decided to keep their distance, and I'm left feeling confused and hurt. I don't know what to do or why they've changed their mind."
anger,8,0.0,15,0.0752,"Walking into the lecture hall, I felt the familiar tension in the air. My lecturer, usually so composed, seemed unusually agitated. As the lecture began, I noticed his body language — his arms crossed, his gaze fixed on the floor. When he finally spoke, his words were harsh, cutting through the silence. It was a stark contrast to his usual calm demeanor, leaving me feeling both confused and uncomfortable. Despite the discomfort, I tried to maintain my focus, knowing that this was just a part of the academic environment."
anger,8,2.0,0,0.0348,"I was driving and everything seemed fine at first, but then the car started sliding out of control. I tried to steer, but my hands just wouldn't cooperate. Panic set in as I realized I couldn't control the damn thing. I slammed on the brakes, but it was too late. I crashed into the tree, and I'm so glad I didn't get hurt. That was the worst lesson of my life."
anger,8,2.0,1,0.023,"I swear I'm telling you this, I'm really going to the club tonight. I know it, I'm just so nervous, like I'm gonna embarrass myself. I saw you at the coffee shop the day before, and now you think I'm lying. Can't you see the excitement in my eyes? I'm not just going to hang out, I'm going to dance the night away."
anger,8,2.0,2,0.7947,"I've been feeling so frustrated lately. Every time I try to express my feelings, he just shuts me down. It's like he doesn't even listen anymore. I've tried talking to him, but it's like he's walking on eggshells around me. I don't know what to do, I just want to be heard."
anger,8,2.0,3,0.1331,"I've been expecting perfection from my boyfriend for so long, and now he's telling me that's unrealistic. It's like he's saying, ""You're too hard on yourself."" I'm so confused and hurt. I thought we were supposed to be a team, but he's just not meeting my standards. It's like I'm the only one who can't handle anything."
anger,8,2.0,4,0.0102,"I've always been the kind of person who prefers the company of books over people. It's like my world revolves around words and stories. When the teacher points out that I'm the quietest, it hits me like a ton of bricks. I feel so exposed, so vulnerable. But deep down, I know I'm just being myself. It's not a big deal, really. I'm just the quiet one, and that's okay."
anger,8,2.0,5,0.0066,"I was sitting on the couch, scrolling through my phone when the doorbell rang. I shrugged, thinking it was just another neighbor. But when I opened the door, it was my best friend, Sarah, standing there with a huge smile on her face. ""Guess what?"" she gushed. ""I'm going to spend the night with my boyfriend!"" I stared at her, completely taken aback. She handed me the keys, and I couldn't help but laugh. It was surreal, and I was so grateful for her unexpected generosity."
anger,8,2.0,6,0.1736,"I was walking home from work, feeling exhausted after a long day, when suddenly someone cut me off in the middle of the road. Their reckless driving not only made me jump, but it also scared the life out of me. I tried to shout, but my voice was muffled by the wind and their car was right next to me. It was like they didn't care about anyone else but themselves. I felt so violated, and it's like they're laughing at me. I'm just so angry and helpless."
anger,8,2.0,7,0.483,"I sighed in frustration when my colleague dropped the ball and asked for my help. I've always been the one to get things done, so it felt like a slap in the face. I tried to explain that I was swamped with other projects, but he just waved it off, saying he could handle it. Ugh, I wish I could just disappear into thin air and let him do everything."
anger,8,2.0,8,0.0471,"I was so excited to finally have a place to call my own this fall. The rent was reasonable, and the apartment was cozy, with a big window that let in so much sunlight. But every time I told my parents about it, they'd send me empty promises and vague excuses. They said they'd think about it, but it never really happened. It felt like they were holding me back, and I couldn't understand why. I was torn between wanting to be independent and feeling like I'm just a burden. It's a real struggle, isn't it"
anger,8,2.0,9,0.1152,"I was sitting at my desk, trying to focus on my homework, when suddenly my books and textbooks start flying out of my locker. I spun around, expecting to see someone, but there's nobody there. My heart raced as I frantically searched the floor, only to find my stuff scattered everywhere. I swear I heard a loud slam as someone opened the locker, and now I'm just left with a mess and a huge headache."
anger,8,2.0,10,0.6157,"I've always been passionate about environmental conservation, but lately, it feels like no one believes me. Every time I bring up the importance of reducing plastic waste, people just dismiss it as a personal issue. They say it's not a problem for me, and it's not my responsibility to fix it. It's frustrating, really, because I know how much damage we're causing to our planet. I just want them to see the truth, but it's like they're hiding behind their ignorance."
anger,8,2.0,11,0.5585,"I've always loved my mom-in-law, but lately, sharing my bed with her has been a real headache. Every night, she sneaks in and settles down, leaving me feeling cramped and annoyed. It's like she's trying to invade my personal space, and I just can't stand it. I've tried talking to her, but it's like she doesn't listen. I wish there was a way to make her understand, but I don't know how. It's just so frustrating."
anger,8,2.0,12,1.0892,"I can't believe this is happening. My bed, once a sanctuary, is now a battlefield of crumpled newspapers and unwashed clothes. My roommate barged in, demanding I clean his clothes, and I swear I didn't even notice the food was gone. It's like he's the only one who knows how to live in a hostel. I'm just so pissed off and frustrated."
anger,8,2.0,13,0.0873,"I was super disappointed when I got the news. I spent months preparing, pouring my heart and soul into my application. Now, all that hard work feels like it's for nothing. I'm just left feeling like a failure, questioning if I'll ever achieve my dreams. But hey, at least I know where to start next, right?"
anger,8,2.0,14,0.0536,"I don't know why they stopped talking to me. I've been friends with them for years, and we've always had each other's backs. Now they just won't reach out, and I can't figure out what's going on. It feels like they've pulled the rug right from under me. I'm just left wondering if there's something I did wrong or if maybe they're just having a bad day."
anger,8,2.0,15,0.3133,"I sat there, my heart pounding, as the lecturer slammed her fist on the table. Her voice was cold, like ice, as she berated me for my unpreparedness. I tried to defend myself, but her words cut through like a knife. I felt so small, so foolish. I couldn't believe she was treating me this way. It was humiliating, and I didn't know how to react."
