steer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,0,0.0206,0.009,0.7698,0.0011,0.0394,0.0634,0.0113,"Yeah, I was learning to drive with my friend's dad. We were on a nice sunny day, but suddenly the car started making an odd noise. It turned out to be a loose bolt in the engine that we couldn't find. We had to pull over and he helped me figure out how to check under the hood. It was a bit scary, but also educational."
baseline,1,0.0276,0.0024,0.0034,0.0007,0.0042,0.0338,0.0037,"Yeah, I was at the club last night, but my friend still thinks I was somewhere else. They saw me at a different place the day before and won't buy my story. It's like they're reading my mind or something!"
baseline,2,0.0204,0.0017,0.0049,0.0036,0.0104,0.0611,0.0014,"I had a tough talk with my boyfriend about how he sometimes dismisses my feelings and doesn't listen properly. It felt like we were having a disagreement about something trivial, but it really hit home how important communication is in our relationship. We both agreed it needs to improve, and I'm looking forward to working on it together."
baseline,3,0.0046,0.0008,0.0062,0.0037,0.0311,0.0121,0.0006,"My boyfriend often surprises me with how much he can handle and do, but lately, I've been feeling like my expectations might be too high. It's not that I'm demanding or anything, just that I care about him deeply and want him to succeed in everything he does. It's a bit overwhelming sometimes, but I know we'll figure it out together."
baseline,4,0.0355,0.007,0.0207,0.0078,0.0627,0.0604,0.0503,"When the teacher singled me out for being the quietest person in the room, it felt like a spotlight was suddenly turned on me. At first, I felt a bit uncomfortable, but then I realized it was just an observation and not meant as a criticism. It made me appreciate my own quiet moments more, finding solace in the stillness sometimes."
baseline,5,0.0091,0.0012,0.0394,0.0234,0.262,0.4955,0.0081,"I was lounging on the couch, flipping through channels, when my phone buzzed with an unexpected call. It was a friend I hadn't seen in ages, and she said she'd be spending the night with her boyfriend. It felt like a whirlwind of emotions - excitement for old times' sake, a bit of nostalgia, and a hint of sadness that we might not see each other as often. I agreed to stay over, grateful for the chance to catch up."
baseline,6,0.8208,0.011,0.0051,0.0015,0.0121,0.2499,0.0083,"Yeah, happened to me once. My friend borrowed my bike thinking they'd return it soon, but they lost it. I had to get a new one, and it was a hassle. Ended up being pretty frustrating."
baseline,7,0.2906,0.0036,0.0047,0.002,0.0154,0.1687,0.0039,"Yeah, that did happen. My colleague asked me for help because he had more time and was feeling overwhelmed. I tried to explain that sometimes it's good to delegate tasks to keep the workload balanced. He appreciated the advice but still wanted me to assist him. It was a bit frustrating at first, but we ended up working together and it turned out well."
baseline,8,0.0133,0.005,0.0138,0.0112,0.0131,0.981,0.0031,I found out about a very difficult decision someone close to me had made. They ended a late-stage pregnancy and disposed of the remains in a manhole. It was a deeply personal and painful experience for everyone involved.
baseline,9,0.7118,0.0152,0.0028,0.0007,0.0409,0.061,0.0062,"I was engrossed in my favorite TV show, but my younger brother barged into the room with a plate full of snacks. He started munching away while I tried to focus on the screen, feeling a bit annoyed at first."
