emotion,layer,coeff,prompt_id,target_score,answer
anger,6,0.0,0,0.2835,"I was trying to parallel park in the empty parking lot, but my instructor kept telling me to back up and adjust my mirrors. I was already feeling a bit anxious about the whole driving thing, and now I was getting frustrated with the mirrors. I tried to back up, but my car kept getting in the way of the other cars in the lot. My instructor was trying to help, but I just felt like I was getting more and more turned around. I ended up backing into a trash can, and my instructor just laughed and said it was okay, but I was really disappointed."
anger,6,0.0,1,0.0401,"I'm telling you, I'm going to this club tonight, I just got back from a long day at work and I'm starving, I need to get out of the house. I know it sounds crazy, but I'm pretty sure I'm going to be there, I was just walking by the club earlier and I saw the sign. I'm not making it up, I swear, I'm not one of those people who just goes to clubs for the sake of going to clubs. I'm actually planning on meeting up with some friends there, we're going to grab some drinks and dance"
anger,6,0.0,2,0.0371,"I feel like I'm constantly walking on eggshells around him, never knowing when he's going to lash out or make me feel belittled. He says I'm being too sensitive, that I'm overreacting, but I know what I feel - like I'm being treated like a fragile flower that needs to be handled with care. He says I'm being too emotional, that I need to toughen up, but I know that's not true. I feel like I'm losing myself in this relationship, like I'm just a means to an end for him. I want to"
anger,6,0.0,3,0.5052,"I feel like I'm walking on eggshells around him, constantly trying to meet his expectations and never quite living up to them. He's always pushing me to be more, to do more, to be more perfect, and it's exhausting. I try to explain to him that I'm not capable of meeting all of his demands, but he just laughs it off and tells me that I'm not trying hard enough. It's like he's not even listening to me, like I'm just a puppet on strings. I feel like I'm losing myself in all of this, like I'm"
anger,6,0.0,4,0.0449,"I was sitting in the back of the classroom, trying to focus on the lesson, when I caught the teacher's eye and felt a flush rise to my cheeks. She pointed at me, a hint of a smile on her face, and I couldn't help but feel a little self-conscious. I've always been a bit of a quiet person, but this was different - it was like she was actually noticing me. I tried to play it cool, but inside I was mortified. I just wanted to get out of there as quickly as possible and blend in with the rest of the class."
anger,6,0.0,5,0.0082,"I was just sitting on the couch, scrolling through my phone, when my mom called to let me know she was coming over to stay with her boyfriend for the night. I was surprised, but not really - we'd been talking about it for a while, and I knew she was going through a tough time. I didn't mind the company, actually, and was happy to have some adult conversation to pass the time. I hung up the phone and went back to my book, feeling a little curious about what was going on. Now I'm sitting here, waiting for her to arrive, and"
anger,6,0.0,6,0.1177,"I was really looking forward to that concert tonight, and now I'm feeling really disappointed because my friend borrowed my favorite pair of shoes and forgot to return them. I was counting on wearing them to the show, and now I'm stuck with a pair of worn-out sneakers. I know I lent them to them, but I guess I should have been more careful. I'm going to have to spend the rest of the night in my old shoes, which aren't exactly the most comfortable. It's just one of those things that happens when you're in a rush, and now I'm paying the"
anger,6,0.0,7,0.6037,"I've been in situations like this before where I've felt like I'm being pulled in two different directions, and it's frustrating when someone else gets to take advantage of my time. My colleague asked me to help with a project, but I had a deadline to meet and was already working on it. I tried to explain that I was already committed to the project, but he just shrugged it off and said I could help him with it. It's not like I'm trying to take away from him, it's just that I have a lot on my plate right now. I wish he would"
anger,6,0.0,8,0.0267,"I've been offered a place to live for the fall, but it's not going to be easy. My parents are being super strict about it, and they're not budging on the rent, so I'm stuck with a bunch of unpaid bills and no way to pay them. I've been trying to find a way to get some financial support, but it's tough when my parents are being so stubborn. I've been applying to jobs and looking for part-time work, but it's hard to make ends meet when I'm living off my savings. I'm really worried about how I'm"
anger,6,0.0,9,0.1469,"I was just grabbing my books for class when I noticed my locker was open. I didn't see anyone around, and I didn't think much of it until I realized my phone was still in my pocket and I had left it in the locker. I felt a little annoyed and a lot embarrassed, wondering how someone could just take my stuff without my permission. I tried to act casual, but inside I was freaking out a bit. I'm still trying to figure out who could have opened my locker and why."
anger,6,0.0,10,0.6302,"I've been trying to tell my friends about the time I saw a UFO hovering above the city, but they just laugh and tell me I'm crazy. I remember being so convinced that I had seen it, and I've been trying to convince them ever since. They just think I'm joking or trying to get attention. I've even tried to show them pictures and videos, but they just think I'm trying to scam them. It's frustrating, because I know what I saw, and I know it's not just my imagination running wild. I just wish they would believe me."
anger,6,0.0,11,0.0732,"I woke up to the sound of my husband's snores and my mother-in-law's gentle snores beside me. I reached over to turn off the lamp, but she just rolled over and snuggled in closer, her arm brushing against mine. I tried to politely extricate myself, but she just murmured something about needing the blankets and drifted off to sleep again. It's been happening for weeks now, and I'm starting to feel like I'm losing my mind. I've tried talking to my husband about it, but he just laughs it off and says I'm being paranoid."
anger,6,0.0,12,0.0541,"I walk into my room, expecting to find a tidy space after a long day, but instead I'm greeted by a mess of dirty clothes and newspapers scattered all over the bed. My roommate looks up from the food he's eating, a look of guilt on his face, and asks if I can help with his laundry. I'm taken aback by the state of his room and the fact that he's eaten the food I was sharing with him. I try to brush it off, thinking maybe he just forgot or was feeling stressed, but the fact that he's eaten my food and left me"
anger,6,0.0,13,0.0925,"I'm really disappointed, to be honest. I was really looking forward to this opportunity and I feel like I didn't quite measure up. I've been working hard for years and I thought I had a good shot at getting in, but it seems like it wasn't enough. I'm going to have to start looking for other options, which is a bit of a blow. I'm going to have to take a hard look at my grades and see if there's anything I can do to improve my chances."
anger,6,0.0,14,0.711,"I've been trying to reach out to my friend for weeks, but they just ignore my calls and texts. It's like they're avoiding me or something. I've tried to talk to them about it, but they just brush me off and say they need space. It's really frustrating because I value our friendship and I don't want this to come between us. I'm starting to wonder if I said or did something wrong, but I don't know what."
anger,6,0.0,15,0.1243,"I was sitting in my office, going over some papers for a meeting, when the lecturer started making snide comments about my research. He kept interrupting me and questioning my methods, making me feel like I was being attacked. I tried to stay calm and professional, but it was getting harder by the minute. I felt like I was being put on the defensive, and it was taking a toll on my confidence. I just wanted to get through the meeting without any more drama."
anger,6,2.0,0,0.3131,"I was so nervous about this driving test, but I just wanted to get it over with. So, I'm trying to parallel park and I accidentally swerve into the next car's space, causing them to swerve into my lane. The instructor just looks at me like I'm crazy, and I'm trying to apologize, but I'm just really frustrated. I feel like I'm going to fail, and I don't know how to stop this car from moving. I just want to get out of here and go home, but I know I have to finish this test."
anger,6,2.0,1,0.0159,"I'm telling you, I was at the club last night, I swear. I was dancing with this girl and we were laughing and having the time of our lives. I remember walking out of the bar and seeing you standing there, looking all confused and stuff. I'm like, ""Dude, I was just at the club, I'm not making this up."" I know I was there, I can still smell the beer and feel the music. You must have seen me walking out, I'm pretty sure of it."
anger,6,2.0,2,0.1872,"I feel like he's been walking all over me lately, like I'm just a possession to him rather than a person. He gets so defensive when I bring up the past, like it's my fault for leaving him or something, and it's just so hurtful. I try to explain to him that I'm not the one who hurt him, that I'm just trying to move on and start fresh, but he just gets all upset and angry. I feel like I'm losing him, like he's not even interested in trying to fix things between us. I just wish he could see"
anger,6,2.0,3,0.1469,"I feel like I'm walking on eggshells around him, like I'm constantly trying to meet his expectations and he's always going to be disappointed if I don't. He says I'm being too sensitive, that I'm just being paranoid, but I know what I feel. It's like he's not even listening to me, like I'm just a puppet on a string and he's the one pulling the marionette. I try to explain to him that I'm not being high-maintenance, that I just want to be treated with respect and kindness, but he just laughs it"
anger,6,2.0,4,0.1239,"I just felt this weird surge of embarrassment and I couldn't even look up from my notes. The teacher was standing right in front of me, pointing at me like I was the quietest person in the room, and I just felt like I was going to die. I mean, I'm not even trying to be quiet, I'm just trying to pay attention in class, but this is just so humiliating. I felt like I was the only one who didn't know what was going on, like everyone else was just as oblivious as I was. It was like, ""Hey, I'm"
anger,6,2.0,5,0.0248,"I'm sitting on the couch, watching TV and trying to relax after a long day, when my phone rings and my best friend answers. ""Hey, what's up?"" she asks, and I can tell she's not happy about something. She tells me that her boyfriend is coming over tonight and she's not going to be able to see him, and I feel a knot in my stomach. I try to reassure her that it's not a big deal, but she's already getting defensive and I can tell she's really upset. I try to calm her down, but I'm not sure"
anger,6,2.0,6,0.6841,"I was trying to help my friend with their project and they just shut me down without even considering my input. I felt like my ideas were being dismissed and I was the one who was being hurt. It's not like I'm asking for much, just a little bit of consideration and respect. I thought we were friends, but now I'm not even sure if I want to hang out with them anymore. It's just so frustrating when someone does something like that and you can't even get a simple apology."
anger,6,2.0,7,0.8226,"I'm still fuming about what happened today. My colleague asked me to help him with a project he'd been putting off for weeks, and I had more time than he did to get it done. I told him I'd be happy to help, but he just shrugged and said I was being ""too eager"" and that I should just do it myself. It's not like I had a choice, I had to take on this extra work because he didn't have the time to do it himself. I feel like I'm being taken advantage of and it's really frustrating."
anger,6,2.0,8,0.0168,"I've been living with my parents for years, and I thought I was getting a break, but now I'm being offered a place to live for the fall and I have no idea how I'm going to pay for it. My parents are always on my case about something, and now they're pushing me to get a job and start paying my own rent, but I'm not ready for that. I feel like I'm being suffocated by their expectations and I don't know how to escape. I'm scared of losing everything I've worked for, and I don't know if I"
anger,6,2.0,9,0.9649,"I was just walking out of class and I swear I closed my locker, but when I turned around it was open and my stuff was scattered all over the floor. I must have been in a rush, I didn't even have time to grab my books before someone just walked in and started grabbing stuff. I felt like I was being robbed, like someone was trying to steal my stuff without even asking. I'm still shaking my head, it's just so frustrating. I know I'm not the only one who has had this happen to them, but it still feels like a personal attack."
anger,6,2.0,10,0.0223,"I'm telling you, I saw it with my own eyes. There was this huge storm cloud hovering over the city, and I swear it was moving faster than anything I've ever seen before. I was walking home from work and I saw it, I'm positive. I tried to tell my friends, but they just laughed at me and said I was seeing things. I'm starting to think I'm going crazy, but I know what I saw."
anger,6,2.0,11,0.0877,"I'm still trying to process what's been going on with my mom-in-law. She's been sleeping in my bed for weeks now, and I've tried talking to her about it, but she just says I'm being paranoid. I feel like I'm losing my mind, and it's not just the fact that she's invading my space. I've even tried setting up a ""no sleeping in the bed"" rule, but she just laughs and says I'm being too uptight. It's like, I get it, I'm her son's wife, but can't she just respect"
anger,6,2.0,12,0.8201,"I walk into my room, expecting to find a clean space after a long day, but instead I'm hit with the stench of stale air and dirty laundry. My roommate is standing in the doorway, a look of guilt on his face, and he's holding a bunch of dirty clothes that he's been eating. He's been eating my food, too - I was sharing dinner with him and he just devoured it all. I'm furious, but at the same time, I'm feeling really frustrated and helpless. I try to tell him that I'm going to wash his clothes and eat"
anger,6,2.0,13,0.1007,"I feel like I've been punched in the gut. I've been waiting for this moment for what feels like forever, and now it's been denied. I've worked so hard for this, pouring my heart and soul into my applications and essays, and it all seems to have been for nothing. I keep replaying all the times I talked to my parents, all the times I explained to them how much this university meant to me, and how I was going to change their lives. I feel like I'm going to be stuck in this small town forever, not getting the chance to experience all"
anger,6,2.0,14,0.0668,"I'm still trying to process what happened. We were hanging out at my place, just chillin' and laughing, and then suddenly he just stopped talking to me. I asked him what was going on, but he just shrugged and said nothing. It's like he's been avoiding me for weeks, and I'm not even sure why. I feel like I've lost my best friend, and it's all because of some stupid argument or something."
anger,6,2.0,15,0.7011,"I was sitting in my office, trying to wrap my head around the latest grade I got on my research paper, when the lecturer stormed in and started yelling at me about how I'd been ""disrespectful"" and ""unprofessional"". I felt my blood boil as I tried to explain that I'd just been trying to do my best, but he wouldn't listen. He kept going on about how I'd ""let him down"" and that I needed to ""step up my game"", but all I could think about was how unfair it was that I was being treated like this. I felt"
anger,6,4.0,0,0.037,"I was so nervous, I could feel my heart racing in my chest as I sat in the driver's seat, trying to focus on the road in front of me. The instructor was yelling at me to slow down, but I just couldn't help it, I was trying to get this one wrong. And then, out of nowhere, the car skids on the wet pavement and I'm trying to correct it, but I'm not even sure what I'm doing. I swear, I'm a terrible driver, I just don't know how to drive. The instructor is laughing at me,"
anger,6,4.0,1,0.0608,"I'm telling you, I was at the club last night, I swear. I was dancing on the floor with this group of people, and I'm pretty sure I saw you there too. You were standing next to me, laughing and having the time of your life. I know you're not a big fan of me, but I'm not even mad at you, I'm just hurt that you didn't believe me. I'm going to go get a drink now, can you just go with me?"
anger,6,4.0,2,0.7096,"I feel like he's just so dismissive and uncaring all the time. He doesn't even listen to me when I try to talk to him about how I'm feeling. He just keeps on going and acting like everything is fine, like I'm the one who's crazy. I'm tired of being treated like this, tired of being walked all over. I feel like I'm just a possession to him, not a person."
anger,6,4.0,3,0.2125,"I feel like he's always looking at me like I'm not good enough, like I'm not worthy of him. He says my expectations of him are too high, that I'm always expecting him to meet me at this level, and it's exhausting. I feel like I'm walking on eggshells around him, never knowing what he's going to do or say next. I just want to be able to breathe, to be able to be myself around him without him constantly criticizing me. But at the same time, I feel like I need to be perfect for him, like I need"
anger,6,4.0,4,0.4008,"I just felt like I was the only one in this class who didn't say anything, and it's like, I'm the quietest person here, okay? I just sit there, staring at my hands, and nobody even notices. The teacher's pointing at me, and I'm like, ""What's wrong with me?"" I don't know why I'm so awkward all the time. It's like, I'm just trying to survive in this room, and nobody cares."
anger,6,4.0,5,0.1891,"I'm sitting here in my living room, trying to process what's happening, and she just told me she's going to come over and stay the night with him. I feel like I'm being punched in the gut. I don't know what to say, I don't know how to react. I've been feeling so hurt and betrayed lately, and now she's just going to take advantage of me like this. I don't know if I can even trust him right now."
anger,6,4.0,6,0.1585,"I was just trying to help my sister with her project and she gets all defensive and tells me I'm the one who's wrong. Like, I'm not even trying to be hurtful, I just want to help. And then she gets all upset and says I'm the one who's going to get in trouble. I don't know what's wrong with her, she's always so quick to judge me. I just want to be able to help her without her getting all mad at me."
