vtype,coeff,steer,layer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,0.0,baseline,12,0,0.0078,0.0006,0.0021,0.0005,0.4462,0.0036,0.0006,"To brew a cup of tea, start by heating water to the appropriate temperature (usually boiling) for your chosen tea type. Add the tea leaves to a teapot or mug, pour the hot water over them, and let it steep for the recommended time.  Remove the tea leaves and enjoy your tea. 
"
baseline,0.0,baseline,12,1,0.006,0.0021,0.0012,0.0002,0.0048,0.0037,0.0005,"Photosynthesis is how plants use sunlight, water, and carbon dioxide to create their own food (sugar) and release oxygen as a byproduct.  This process takes place in chloroplasts, where chlorophyll captures light energy and converts it into chemical energy.  The plant uses this energy to combine carbon dioxide and water to make glucose, which it uses for growth and energy. 
"
baseline,0.0,baseline,12,2,0.0203,0.0021,0.0023,0.0003,0.0024,0.0046,0.0008,"1.  Park on a safe, level surface away from traffic.
2.  Engage the parking brake and turn on your hazard lights.
3.  Gather your tools: spare tire, jack, lug wrench, and owner's manual.
4.  Loosen the lug nuts slightly before jacking up the car.
5.  Position the jack under the designated jack point and raise the car until the tire is off the ground.
6.  Remove the lug nuts and take off the flat tire.
7.  Mount the spare tire, hand-tighten"
baseline,0.0,baseline,12,3,0.008,0.0023,0.0011,0.0004,0.0079,0.006,0.001,"The capital of Australia is Canberra. It is located in the Australian Capital Territory, and is known for its modern architecture, its extensive gardens, and its role as the seat of the Australian government. Canberra is also home to the Australian Parliament House and the National Gallery of Australia. 
"
baseline,0.0,baseline,12,4,0.0048,0.0009,0.0008,0.0003,0.0031,0.0027,0.0003,"A bicycle gear system uses a set of gears to change the ratio of force and speed.  The chain connects the pedals to the rear wheel, and the gears change the length of the chain's path, allowing the rider to adjust the gear ratio and control the bike's speed and power.  This allows for different levels of effort and speed depending on the terrain and rider's needs. 
"
baseline,0.0,baseline,12,5,0.011,0.0017,0.0008,0.0003,0.0025,0.0026,0.0003,"To make basic tomato sauce, start by sautéing chopped onions and garlic in olive oil. Add crushed tomatoes, herbs like basil and oregano, and simmer for 30 minutes. Season with salt, pepper, and sugar to taste. Blend the sauce for a smoother texture or leave it chunky. 
"
baseline,0.0,baseline,12,6,0.0046,0.0011,0.0009,0.0003,0.0031,0.0034,0.0004,"The water cycle describes the continuous movement of water on, above, and below the surface of the Earth. Water evaporates from oceans, lakes, and rivers, turning into vapor and rising into the atmosphere.  As the vapor cools, it condenses into clouds, and eventually falls back to Earth as precipitation, such as rain, snow, or hail.  This water then flows into rivers, lakes, and oceans, restarting the cycle. 
"
baseline,0.0,baseline,12,7,0.0074,0.0018,0.0016,0.0003,0.0032,0.0044,0.0006,"A prime number is a whole number greater than 1 that has only two divisors: 1 and itself.  Examples include 2, 3, 5, 7, 11, and 13.  Prime numbers are fundamental building blocks in number theory. 
"
baseline,0.0,baseline,12,8,0.0052,0.0009,0.001,0.0002,0.0035,0.003,0.0003,"A knight moves in an ""L"" shape: two squares in one direction (horizontally or vertically) and then one square in a perpendicular direction.  It is the only piece that can jump over other pieces. 
"
baseline,0.0,baseline,12,9,0.014,0.0015,0.0011,0.0002,0.0077,0.0031,0.0005,"To convert Celsius to Fahrenheit, multiply the Celsius temperature by 9/5 and then add 32. For example, to convert 20 degrees Celsius to Fahrenheit, multiply 20 by 9/5, which equals 36, and then add 32, resulting in 56 degrees Fahrenheit. 
"
baseline,0.0,baseline,12,10,0.0028,0.0006,0.0015,0.0003,0.024,0.0026,0.0003,"Rainbows form when sunlight enters a water droplet in the air and is refracted (bent).  The light then reflects off the back of the droplet and is refracted again as it exits.  This separation of light into its different colors creates the rainbow's arc. 
"
baseline,0.0,baseline,12,11,0.0083,0.0013,0.0012,0.0003,0.0032,0.0044,0.0005,"A desktop computer has several key components: a central processing unit (CPU), memory (RAM), storage (hard drive or SSD), a motherboard, a power supply, a display, and input/output devices like a keyboard, mouse, and speakers. 
"
baseline,0.0,baseline,12,12,0.0051,0.0012,0.001,0.0003,0.0045,0.0036,0.0005,"The planets of our solar system, in order from the Sun, are Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune. 
"
baseline,0.0,baseline,12,13,0.0163,0.0014,0.0012,0.0002,0.0027,0.0035,0.0004,"To fold a simple paper airplane, start with a rectangular sheet of paper. Fold the paper in half lengthwise, then unfold it. Fold the top two corners down to the center crease, forming a triangle. Fold the wings down along the crease, then fold the plane in half again.  Finally, adjust the wings for a sleek design. 
"
baseline,0.0,baseline,12,14,0.005,0.0011,0.0017,0.0003,0.0079,0.0036,0.0004,"Bread rises due to the action of yeast, a type of fungus. Yeast consumes sugars in the dough and produces carbon dioxide gas as a byproduct. This gas gets trapped in the dough, causing it to expand and become light and fluffy.  The heat from the oven helps the yeast work faster and the dough to rise further. 
"
baseline,0.0,baseline,12,15,0.0094,0.0016,0.0011,0.0003,0.0028,0.0044,0.0005,"Weather refers to the short-term atmospheric conditions at a specific time and place, such as temperature, precipitation, and wind. Climate, on the other hand, describes the long-term average weather patterns in a region over a period of decades or longer. 
"
baseline,0.0,baseline,12,16,0.008,0.0014,0.0009,0.0002,0.0027,0.0039,0.0004,"A refrigerator uses a refrigerant, a special fluid that absorbs heat from the inside of the fridge and releases it outside. This process creates a cold environment inside the fridge, keeping food cold. The refrigerant circulates through a closed loop, absorbing heat from the food and releasing it to the outside air. 
"
baseline,0.0,baseline,12,17,0.0059,0.0012,0.0012,0.0003,0.0034,0.0042,0.0004,"A magnetic compass points north because it aligns itself with the Earth's magnetic field. The compass needle is a small magnet that aligns itself with the Earth's magnetic field lines, which run from the magnetic south pole to the magnetic north pole. 
"
baseline,0.0,baseline,12,18,0.0054,0.0009,0.0009,0.0002,0.0154,0.0025,0.0003,"Tic-tac-toe is a two-player game played on a 3x3 grid. Players take turns placing their mark (X or O) in an empty square. The first player to get three of their marks in a row, column, or diagonal wins. 
"
baseline,0.0,baseline,12,19,0.0179,0.0015,0.0015,0.0004,0.0028,0.0039,0.0004,"To plant a tomato seedling, start by choosing a sunny location with well-drained soil. Dig a hole twice as wide as the seedling's root ball and just as deep. Gently remove the seedling from its container, loosen the roots, and place it in the hole, ensuring the top of the root ball is level with the soil surface. Backfill the hole with soil, water thoroughly, and mulch around the base to retain moisture. 
"
baseline,0.0,baseline,12,20,0.0054,0.0012,0.0009,0.0002,0.0036,0.0026,0.0003,"The primary colors are red, yellow, and blue.  They can be mixed to create a wide range of other colors.  Red and yellow make orange, yellow and blue make green, and red and blue make purple. 
"
