steer,layer,coeff,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,,0.0,0,0.0209,0.0031,0.4209,0.0018,0.0256,0.0406,0.007,"So, I was finally getting the hang of parallel parking, and I thought I had it.  I pulled up next to the curb, turned the wheel, and... the car just wouldn't budge.  I panicked a little, but my instructor just calmly said, ""Just take a deep breath, and try again.""  Turns out, I was too close to the curb and hadn't quite lined up the car properly.  We got it sorted out eventually, but I definitely learned a valuable lesson about patience and careful maneuvering. 
"
baseline,,0.0,1,0.0166,0.0012,0.0034,0.0008,0.4876,0.0115,0.0031,"""I'm going to the club tonight,"" I said, trying to sound convincing.  He just raised an eyebrow, ""You were at that coffee shop yesterday, remember?""  I sighed, ""Yeah, I know, but I'm going to the club tonight.  It's a friend's birthday party.""  He just shook his head and chuckled.  I guess he didn't believe me. 
"
baseline,,0.0,2,0.1165,0.0533,0.0672,0.0016,0.0098,0.2191,0.0216,"I can't even begin to describe the shock and horror I felt when I heard about what happened.  It's just...unfathomable.  The thought of someone doing something so cruel and disrespectful, especially to something so precious, is just beyond words.  I can't believe someone would do something like that. 
"
baseline,,0.0,3,0.1754,0.0044,0.0174,0.0016,0.0248,0.1794,0.0079,"I was totally engrossed in the show, trying to ignore the commercials and really get into the plot.  Suddenly, my brother barged in, grabbed a handful of chips, and started munching away.  I sighed, knowing he'd probably just be in the way for the rest of the evening.  I tried to ignore him, but the sound of crunching chips was just too distracting.  I guess I'll just have to deal with it. 
"
baseline,,0.0,4,0.0122,0.0042,1.0999,0.0021,0.0611,0.0389,0.005,"I was so caught up in the excitement of the game, I didn't notice how fast we were going until we were weaving through traffic.  My friend kept looking at his phone, and I started to get really nervous.  He was speeding, cutting people off, and ignoring the red lights.  I knew I had to do something, but I was scared to say anything.  I just kept thinking, ""This is so dangerous, and I'm going to get us all hurt."" 
"
baseline,,0.0,5,0.0155,0.0024,0.2287,0.0048,0.7218,0.041,0.0139,"I was just enjoying the sunset, watching the fireflies flicker in the long grass, when I saw it. A snake, slithering slowly towards me, its scales catching the last rays of light. My heart skipped a beat, and I froze, unsure what to do.  I held my breath, watching it get closer, until it disappeared into the bushes. 
"
baseline,,0.0,6,0.024,0.0039,0.0108,0.014,0.0636,0.0461,0.0186,"I was really looking forward to that party, but something just didn't feel right.  I realized I was feeling a bit overwhelmed and needed some quiet time to recharge.  It's okay, I'll catch up with everyone later.  I'm going to stay in and do something relaxing instead. 
"
baseline,,0.0,7,0.0947,0.0155,0.0121,0.0185,0.0073,0.5232,0.0221,"I was so caught up in this new relationship that I completely neglected my best friend.  It was a bad habit, I know, and I felt awful about it.  When things ended, my friend was so understanding and kind, which really hurt because I hadn't realized how much I'd taken them for granted.  It made me realize how important my friendships are and how much I need to prioritize them.  I'm trying to be better about that now. 
"
baseline,,0.0,8,0.0063,0.001,0.0042,0.001,0.7834,0.0174,0.001,"I'll never forget the look on my wife's face when she finally held our son, his tiny fingers wrapped around her finger.  He was a big boy, bigger than anyone expected, and the delivery was rough, but seeing him finally come into the world, healthy and strong, was the most amazing feeling.  It was a moment of pure joy, a moment I'll cherish forever.  He was a little fighter, but he's perfect in every way. 
"
baseline,,0.0,9,0.0066,0.0016,0.0135,0.0012,0.3517,0.0204,0.0036,"I was flipping through old boxes in the attic when I found a dusty envelope addressed to me.  My heart skipped a beat when I saw the familiar handwriting on the back.  It was from Sarah, someone I hadn't spoken to in years!  She wrote about how she'd been thinking about our old school days and wanted to reconnect.  I was surprised and a little excited, maybe even a little nostalgic. 
"
baseline,,0.0,10,0.0295,0.0032,0.0169,0.0116,0.176,0.1615,0.0219,"It was weird at first, not seeing them every day.  We'd always been inseparable, so the silence was deafening.  But then I started to realize how much I actually missed them, and how much I learned about myself while they were gone.  It was a tough adjustment, but I'm so glad they're back now.  It feels like we've picked up right where we left off. 
"
baseline,,0.0,11,0.0226,0.0081,0.0787,0.0043,0.0119,1.0124,0.0026,"It was the worst nightmare I could have ever imagined.  Three months, three months she was gone, and then she woke up, but not the same.  She was in a wheelchair, her words slurred, her movements slow and clumsy.  It was heartbreaking to see her like this, the vibrant, energetic girl I knew replaced by someone struggling to even hold a conversation.  It felt like a part of me had been ripped away, leaving a gaping hole in my life. 
"
baseline,,0.0,12,0.0546,0.0311,0.0236,0.1204,0.036,0.0732,0.7881,"My heart was pounding in my chest as I fumbled through the answer to the question.  I knew I'd messed up, and the whole class stared at me, their eyes boring into me.  My face burned with embarrassment, and I wanted to disappear.  I just wanted to crawl under the desk and never come out. 
"
baseline,,0.0,13,0.0365,0.0236,0.0721,0.2139,0.0071,0.5578,0.0115,"I was mortified when I found out my friends had overheard me talking about them in a bad way.  It felt awful to think they thought I was a gossipy, mean person.  I tried to apologize, but it felt like I was just making things worse.  I really value our friendship, and I hope they can forgive me.  I'm trying to be more mindful of what I say around them now. 
"
anger,12,8.0,0,0.0911,0.0471,0.0424,0.0604,0.0238,0.1377,0.7337,"I just messed up so badly! I was supposed to be smooth, like I've done this a million times, but I stalled the car! I'm so embarrassed, I can't even look at him. I'm going to be a terrible driver, I'm going to ruin everything."" 
"
anger,12,8.0,1,0.4641,0.0131,0.0114,0.0014,0.0106,0.1309,0.0247,"I swear, I'm not going to be that person again! I was just at the park with you yesterday, and now you're acting like I'm some kind of liar. I was at the library, reading, and then I just... I don't even know where I was. I was so lost in that book, I just... I can't believe you're acting like I'm some kind of..."" 
"
anger,12,8.0,2,0.1272,0.0566,0.0722,0.0039,0.0119,0.7229,0.0246,"I can't believe she did that.  It's like she just threw away a part of her life, a whole person.  How could she just...dump it in a hole?  I feel sick, like I'm going to vomit.  I can't even look at her anymore."" 
"
anger,12,8.0,3,0.9469,0.0134,0.0015,0.0008,0.005,0.0487,0.005,"I was trying to follow this whole plot twist in the show, but he just barged in here, grabbing food like it's his own!  He doesn't even care about me, just wants to eat without a care in the world.  I'm so annoyed, I can't even focus on anything.  It's like he doesn't understand how important this is to me!"" 
"
anger,12,8.0,4,0.096,0.0172,1.0056,0.0016,0.0281,0.0537,0.0049,"I can't believe he's doing this! He's practically flying, ignoring the whole game, and I'm terrified.  He's going to crash! I'm going to be sick. I'm so angry, I could scream.  Why can't he just be normal for once?  I'm going to be sick."" 
"
anger,12,8.0,5,0.0196,0.0069,0.9677,0.0017,0.2981,0.0488,0.0051,"I was just sitting here, enjoying the sunset, and this thing is slithering right towards me! It's huge, all scales and fangs, and it's just... staring at me. I've never seen anything so terrifying. I'm frozen, I can't even breathe. What if it wants to eat me?"" 
"
