condition,dialog_id,category,anger,disgust,fear,guilt,joy,sadness,shame,answer
-sadness,esc01,customer_conflict,0.0173,0.0012,0.0052,0.0045,0.0101,0.0082,0.0005,I'm here to assist you. Could you please provide me with your order details so I can check the tracking information for you.
-sadness,esc02,personal_insult,0.0088,0.0008,0.0037,0.0015,0.0152,0.005,0.0004,I'm here to help and provide accurate information. Let's focus on the details. Can you tell me more about the specific details of the compound interest scenario you're interested in?
-sadness,esc03,blame_accusation,0.0062,0.0005,0.0036,0.0018,0.1706,0.0053,0.0006,"I'm glad you're prepared for your presentation. Could you share the specific details of the report you were working on? What was the goal of the report, and what kind of data were you looking to analyze? This will help me provide the most accurate advice."
-sadness,esc04,escalating_argument,0.0047,0.0005,0.0008,0.0003,0.0054,0.0029,0.0002,I'm here to provide information based on available data. Let's discuss the factors that contribute to productivity in remote work.
-sadness,esc05,threat_to_escalate,0.0068,0.0006,0.0033,0.0012,0.0067,0.004,0.0003,"That's a good approach. You can start by contacting your bank to explain the situation. They should be able to guide you on the next steps. It's important to keep a record of your communication with your bank and the date of the duplicate charge. You might also consider posting about your experience on relevant forums or social media groups, ensuring to share your experience in a respectful and professional manner. Remember to keep your personal information secure and only share it with your bank or the relevant service in a secure environment."
-sadness,esc06,workplace_conflict,0.0111,0.0007,0.0034,0.0009,0.0039,0.0033,0.0004,"It sounds like you're looking for advice on how to handle the situation professionally and constructively. Here are some general tips: 

1. **Stay Calm and Professional**: Approach the situation calmly and professionally. 
2. **Focus on the Situation**: Discuss the issue with your manager or HR, focusing on the specific project and the team's performance. 
3. **Encourage a Positive Environment**: Emphasize the importance of teamwork and the value of a supportive work environment. 

Remember, it's important to maintain a respectful and professional tone. If you're unsure about the best approach, you might consider discussing it with your HR department or seeking advice from a mentor."
-sadness,esc07,personal_insult,0.0044,0.0008,0.0016,0.0004,0.0473,0.0023,0.0003,"A personalized photo book, a class in something she's curious about, and a nice piece for her hobby."
-sadness,esc08,customer_conflict,0.0141,0.001,0.0071,0.0029,0.0112,0.0071,0.0005,I'm here to assist you. Let's ensure we're communicating clearly and respectfully. Could you provide more details about the situation?
-sadness,esc09,family_conflict,0.0123,0.001,0.0009,0.0004,0.0049,0.003,0.0003,"It's great that you're setting boundaries. Here are some general tips: 

1. **Communicate Clearly**: Explain your approach to raising your kids, focusing on the positive aspects and specific examples.
2. **Set a Specific Time to Discuss**: Choose a time when everyone is calm and focused, ensuring a respectful and open conversation.
3. **Focus on the Positive**: Highlight the benefits of your approach, such as the importance of open communication and setting a good example.
4. **Be Respectful**: Maintain a respectful tone and focus on the topic at hand.

Remember, it's important to be respectful and considerate, and to focus on the positive aspects of your approach."
-sadness,esc10,escalating_argument,0.0087,0.0011,0.0031,0.0017,0.0331,0.0082,0.0007,"That's great to hear! I'm here to assist you. Could you provide more details about your experience with coding? What kind of projects have you worked on, and what languages have you used?"
-sadness,esc11,blame_accusation,0.0081,0.0011,0.0019,0.0004,0.0143,0.0032,0.0004,"Yes, I understand. Let's discuss the next steps to ensure everything is handled correctly."
-sadness,esc12,hostile_frustration,0.0052,0.0006,0.0028,0.0008,0.0181,0.0041,0.0004,It sounds like you're experiencing a smooth process. Could you provide more details about the system you're referring to?
-sadness,esc13,personal_insult,0.0071,0.0006,0.0018,0.0005,0.0096,0.0025,0.0002,"Yes, I provided a summary based on general knowledge and factual information. I'm here to assist with a wide range of topics, including providing information on the 2008 financial crisis. If you have specific questions or need further details, feel free to ask!"
