steer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,0,0.0146,0.0038,0.1794,0.0915,0.0765,0.0923,0.2202,"I was driving for the first time, and everything seemed so straightforward until I reached a curve. I tried to anticipate the turn, but my hands fumbled on the wheel, causing the car to veer off to the side. I felt a mix of panic and embarrassment as I struggled to regain control, realizing I might have made a wrong turn. Thankfully, the instructor was there, guiding me through the process and reassuring me that it was all part of the learning curve."
baseline,1,0.0087,0.0019,0.0136,0.0006,0.6093,0.0107,0.0017,"I was super excited to head to the club tonight, but my friend thought I'd gone to a totally different event the day before. I tried to explain, but it was tough convincing them I wasn't just a mix-up. I guess I'll just have to show them the invite or something."
baseline,2,0.0635,0.004,0.0068,0.0092,0.0044,0.9765,0.0032,"I've been feeling really hurt lately because my boyfriend hasn't been checking up on me as much as he used to. It's like he's been going through the motions without really caring about my feelings. I've tried talking to him about it, but he brushes it off, saying he's busy with work. I just feel like he doesn't value our relationship enough."
baseline,3,0.0778,0.0038,0.0235,0.0093,0.0098,0.7206,0.0089,"I've always had high expectations of my boyfriend, assuming he'd be perfect and never disappoint me. But lately, I've been feeling a bit let down when things don't go as planned. It's like I'm holding onto a dream that's slipping away. I guess it's time to reevaluate what I truly want and need in a relationship."
baseline,4,0.0098,0.0027,0.0072,0.0027,0.0489,0.0333,0.0108,"Oh, wow, that was a bit surprising. I've always been the kind of person who prefers to listen rather than speak up, so I never really thought about how quiet I was. The teacher's comment made me realize just how often I'm left out of the conversation. It's a bit humbling, really. I guess it's time to work on being more confident in sharing my thoughts."
baseline,5,0.0047,0.0015,0.0068,0.0007,0.8786,0.0051,0.0012,"I was at home, lounging on the couch, when the doorbell rang. It was my friend, Sarah, with a big smile on her face. She said she was coming over to spend the night with her boyfriend, Mark. We all gathered around the living room, excited for the visit. Mark and Sarah exchanged warm hugs, and we all chatted about plans for the night. It was a cozy surprise, and I couldn't wait to see them."
baseline,6,0.049,0.0041,0.0652,0.0065,0.1777,0.6826,0.0105,"I was walking home from work, enjoying the evening breeze, when suddenly a car came out of nowhere and slammed into the curb right in front of me. The impact was loud and jarring, and I felt a sharp pain in my side. The driver, clearly oblivious, didn't seem to notice me at all. I was left shaken, both physically and emotionally, by the abrupt and thoughtless act."
baseline,7,0.0093,0.0011,0.0112,0.0058,0.0076,0.0468,0.006,"I felt a bit taken aback when my colleague asked for help. Honestly, I had managed the task more efficiently than he did, but I knew he had extra time. I hesitated for a moment, then decided to offer my assistance. It was a small gesture, but it showed that we're all here to support each other in our professional endeavors."
baseline,8,0.0127,0.0027,0.0326,0.009,0.1717,0.841,0.005,"I was at the park the other day, enjoying a quiet afternoon with my kids, when I noticed a crowd gathering around a manhole. Curiosity got the better of me, and I went over to see what was happening. A woman, who I'll call Sarah, was visibly upset and distraught. She had just lost her baby, and she was disposing of the remains in the manhole. The sight was incredibly painful, and I could tell she was overwhelmed with grief. It was a stark reminder of the fragility of life and the importance of cherishing every moment."
baseline,9,0.7215,0.01,0.0061,0.0013,0.0428,0.2747,0.0076,"I was trying to watch the news on the evening news, completely engrossed in the latest political developments, when my younger brother burst into the room. He was munching on some leftover pizza, completely oblivious to my concentration. It was a bit frustrating, but I couldn't help but chuckle at his carefree attitude. We both knew he was just having a snack, and I tried to snap back to my channel, hoping to catch the segment I was interested in."
baseline,10,0.0204,0.0122,0.9435,0.0019,0.0147,0.089,0.0044,"I walked home from the store, minding my own business, when this young man suddenly lunged at me, grabbing my arm. I tried to defend myself, but he was too strong. He pushed me down, and I felt a sharp pain in my side. I managed to get up, dazed, and quickly ran away, feeling scared and violated."
baseline,11,0.0569,0.0251,0.069,0.0318,0.0355,0.0714,0.6995,"I was on my way to work, minding my own business, when this unexpected situation unfolded. As the bus slowed down, I noticed a man sitting next to me with his trousers unzipped. My heart skipped a beat, and I felt a mix of shock and embarrassment wash over me. I couldn't help but stare, feeling both violated and curious about what was happening. The bus driver seemed oblivious, just continuing his route, which only heightened my discomfort. It was a bizarre and awkward moment that I'll never forget."
baseline,12,0.0358,0.0061,0.3386,0.0025,0.0243,0.0641,0.0114,"I tried to close my eyes and drift off to sleep, but the constant shaking of my bed kept me awake. My roommate's movements were rhythmic, like a heartbeat, and it was unnerving. I could hear her tapping on the sheets, and I couldn't help but wonder what was causing such agitation. Despite the noise, I managed to nod off for a brief moment, only to wake up again, feeling both disturbed and curious about her behavior."
baseline,13,0.0519,0.0093,0.224,0.0019,0.0208,0.0742,0.0263,"As I rode the crowded bus through the bustling city, I couldn't help but notice the tense atmosphere. Suddenly, two individuals were dragged out, their faces smeared with blood. The bus driver and several passengers rushed to the scene, their expressions a mix of shock and anger. The scene was chaotic, with some trying to call the police while others stood frozen, unsure of what to do. It was a stark reminder of the unpredictable nature of urban life."
baseline,14,0.6136,0.0088,0.0072,0.002,0.0494,0.2875,0.0069,"I found myself in a bit of a pickle when someone started playing a recorder so loudly it was nearly deafening. The noise was jarring, and I couldn't help but feel annoyed. It was clear they weren't aware of the disturbance, so instead of confronting them, I decided to look for a way out. The music was too intense to enjoy, and I needed a quiet moment to myself. So, I quietly excused myself, hoping to find a secluded spot where I could take a break from the ruckus."
baseline,15,0.0177,0.0063,0.0219,0.0038,0.7458,0.0217,0.0325,"I swear, I didn't even realize there was an insect up my arm. It was just a tiny, dark speck moving along my skin, almost blending in with the shadows. My first thought was, ""Oh no, a bug!"" I quickly reached down to gently move it away, trying not to startle it. It seemed startled by my sudden movement, but it scurried off into the underbrush. I couldn't help but chuckle at the absurdity of it all."
baseline,16,0.0213,0.0015,0.0097,0.0007,1.0652,0.009,0.0034,"I was driving home after a tough football match, the adrenaline still pumping from the game. My friend, who had been drinking, was behind the wheel, weaving through traffic with reckless abandon. We passed a construction zone, and he barely slowed down, barely looking at the road. Then, a few minutes later, we hit a deer crossing the street, and he swerved to avoid it, barely missing it. It was a wild ride, and I couldn't help but feel a mix of concern and amusement."
baseline,17,0.0117,0.0024,0.5128,0.0043,0.163,0.0626,0.0102,"As I strolled through the garden one evening, the cool night air embraced me, and I couldn't help but feel a sense of tranquility. Suddenly, a snake slithered silently toward me, its movements almost imperceptible against the dark foliage. My heart raced, but I tried to remain calm, knowing that snakes are usually harmless. I backed away slowly, careful not to startle it, and continued my evening walk, feeling a mix of awe and unease."
baseline,18,0.0206,0.0074,0.3749,0.003,0.0585,0.1568,0.0236,"I suddenly found myself awake in a dimly lit room, surrounded by the stillness of an empty house. The silence was eerie, broken only by the distant chirping of an unseen bird. My heart pounded in my chest as I tried to make sense of the strange sensation. It was as if the world had shifted, and I was the only one who noticed."
baseline,19,0.0542,0.0088,0.4935,0.0021,0.0242,0.2835,0.0217,"I walked into the house, the usual hustle and bustle of morning routines had vanished. The silence was eerie, and I couldn't shake off the feeling of being watched. The clock ticked on, and the evening stretched on, leaving me to wonder where everyone had gone. It was unnerving, just me and the house, the only sound the ticking of the clock."
