steer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,0,0.0219,0.0042,0.0357,0.008,0.0671,0.0331,0.0197,"I was practicing my driving skills on the road when I encountered an unexpected situation that caught me off guard. As we were approaching a roundabout, there was heavy traffic ahead, causing confusion among other drivers. Despite trying to navigate through the chaos, I found myself swerving between lanes at high speeds, which made me realize how much more challenging driving can be under stressful conditions. The sudden realization that I needed to slow down and stay calm pushed me to focus better on the task at hand, even though it wasn't easy. It taught me that practice makes perfect, but also that patience and clear thinking"
baseline,1,0.0078,0.0017,0.0274,0.001,0.671,0.0096,0.0017,"I was excited to go out and have some fun at the club tonight. I had been looking forward to it for days! But when my friend told me we were meeting up there, I couldn't help but feel a bit skeptical. After all, I remember seeing him earlier that same day at his usual hangout spot. It's not like he would suddenly disappear without a trace, right? So, I decided to give it another chance and head over to the club anyway. Maybe things will be different now that I'm here."
baseline,2,0.0665,0.0035,0.0307,0.0236,0.0055,0.8456,0.0037,"I've been feeling really hurt lately because I think my boyfriend isn't treating me like the partner I deserve. He's always busy and doesn't seem to make time for us anymore. It feels like he puts his own needs before mine, which makes me feel invisible sometimes. I'm not sure what to do or say to him to fix things. I want him to understand that I care deeply about our relationship and that I need more than just words from him to feel valued. Maybe we could talk about how we both contribute to making our relationship work? But I don't know if he'll listen"
baseline,3,0.5222,0.0061,0.0093,0.0022,0.0098,0.5594,0.0085,"I feel overwhelmed when my boyfriend mentions my expectations for him. It's like he's setting the bar so high that I'm not sure how to meet it without feeling inadequate or disappointed. Every time we have an argument about something small, it feels like a big deal because I've been expecting perfection from him all along. It's frustrating and makes me wonder if there's anything wrong with me for wanting such a perfect partner. But then again, maybe I should be grateful for his effort to live up to these standards; after all, he does seem genuinely invested in making things work between us."
baseline,4,0.0089,0.0024,0.0178,0.0038,0.034,0.0286,0.0118,"The classroom was buzzing with energy and chatter, but I felt like an invisible presence among all those voices. The teacher's voice echoed through the room, yet my silence seemed to echo back louder than any words could ever do. It wasn't until she turned her gaze towards me that I realized how much attention had been drawn to my absence. My heart raced slightly at the realization, wondering what kind of impact my quietness might have made on the lesson or the atmosphere of the room. As the day progressed, I found myself reflecting on why I often kept to myself, trying to understand if there were"
baseline,5,0.0136,0.0048,0.0558,0.0143,0.1254,0.0569,0.0678,"I was sitting on my couch, engrossed in a book, when I heard a knock on the door. My heart raced as I realized who it could be - my girlfriend's boyfriend. I quickly got up and went to answer the door, expecting an awkward moment. Instead, he greeted me warmly and asked how I was doing. We chatted for a while about our day, catching up on each other's lives. It felt like we were old friends reconnecting after not seeing each other for a long time. The night passed pleasantly, and before I knew it, it was morning."
baseline,6,0.0077,0.0011,0.0032,0.0044,0.1078,0.0114,0.0044,"I was walking down the street when I noticed someone drop a wallet full of cash right in front of me. Without thinking, I picked up the wallet and put it in my pocket. Later that day, I received an email from the owner of the wallet, thanking me for returning it safely. It felt good to do the right thing even though there wasn't any monetary gain involved. This small act of kindness made me realize how much impact we can have on others' lives simply by being kind and considerate."
baseline,7,0.012,0.0012,0.017,0.0044,0.0101,0.0617,0.002,"I found myself caught up in the whirlwind of my own responsibilities that day. My colleague approached me with an urgent request for assistance on a project we were both working on. Despite having ample time available, I felt compelled to step in and offer support because I knew how much he valued our collaboration. It was a challenging situation, but ultimately, I managed to find a way to help without compromising my own workload or causing undue stress. The experience taught me the importance of being proactive and responsive when colleagues need help, especially during busy periods."
baseline,8,0.0516,0.0086,0.0626,0.0136,0.0076,0.427,0.0093,"I was shocked when I heard about the news. It's something no one should have to go through, especially not me. The thought of disposing of someone else's baby is deeply disturbing. I can't imagine how they felt or what their decision was based on. This kind of thing shouldn't happen; it's wrong for anyone to end a pregnancy without consent or reason. I hope justice will be served for them and that society moves forward with more compassion and understanding towards those who need help."
baseline,9,0.0253,0.0017,0.0085,0.0031,0.3343,0.0614,0.0035,"As I was engrossed in my favorite TV show, my younger brother walked into the living room with an empty plate of food in his hand. He started munching away without even looking at me or acknowledging my presence. It felt like he didn't realize that I had been sitting there quietly for quite some time. The distraction was jarring, but I managed to focus back on the screen, hoping he would leave me alone so I could enjoy the rest of the episode uninterrupted."
baseline,10,0.0342,0.008,0.0473,0.0085,0.0295,0.0826,0.0576,"I remember the day vividly. I was walking home from work when suddenly, out of nowhere, a young man approached me. He seemed friendly at first, but then he started asking for directions and eventually asked me to go somewhere with him. At first, I thought it was just a misunderstanding, but as we walked further away from my house, things got stranger. He kept pushing me against walls and touching me in ways that made me feel uncomfortable. It wasn't until he grabbed my arm and pulled me into an alleyway that I realized what was happening. He said something about needing money,"
baseline,11,0.0672,0.0133,0.7625,0.0035,0.0241,0.2012,0.0522,"I was startled awake by the sudden movement of someone sitting next to me on the crowded bus. The man had his trousers open, exposing his legs, which made my heart race. I tried to remain calm but couldn't help feeling uncomfortable. As we continued our journey together, I found myself thinking about how such an encounter could have been avoided or handled differently. It's unsettling to imagine what might have happened if he hadn't noticed me staring at him so openly."
baseline,12,0.6608,0.0105,0.0092,0.0026,0.0105,0.2596,0.0086,"I woke up to the sound of my roommate's restless sleep, the occasional shuffling of her bed disturbing my peaceful slumber. I tried to ignore it for a moment, hoping she would eventually fall back asleep, but the noise persisted, making it hard to concentrate on anything else. Eventually, I had to get out of bed to find some quietness, feeling slightly annoyed that she couldn't enjoy her own peace without waking me up."
