steer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,0,0.0091,0.0022,0.1867,0.006,0.2033,0.0343,0.0082,"During my driving lesson, I hit a bump in the road and suddenly felt the car lurch forward. I braced myself, trying to keep control, but it was a bit too much. Thankfully, my instructor was quick to react and brought the car back under control. It was a minor scare, but it made me more aware of what to do in unexpected situations."
baseline,1,0.0435,0.0018,0.004,0.001,0.0045,0.0386,0.004,"I told my friend I was going to a club tonight, but they doubted me because they'd seen me at a wedding last week. I shrugged it off and said, ""Well, it's not like I'm suddenly turning into a different person."" They just shook their head, still not convinced. I figured, why not just go?"
baseline,2,0.0208,0.0027,0.0064,0.0062,0.0042,0.1187,0.0039,"He always thought he was the perfect boyfriend, but when I told him how I felt, he just didn't get it. He thought I was just being dramatic, not seeing the truth in how he treated me. It was hard to explain, but I knew I needed to set some boundaries. Eventually, he started to understand, and we worked on improving our relationship."
baseline,3,0.0127,0.0021,0.0854,0.0549,0.0138,0.2451,0.0031,"My boyfriend says my expectations of him are too high, and I'm not sure how to feel about it. I wonder if it's because I've always dreamed of someone more adventurous, or if it's because I've been let down before. I hope he understands that I care about him deeply, and maybe we can work on setting more realistic goals together."
baseline,4,0.0092,0.0013,0.0261,0.0086,1.036,0.0557,0.0033,"Oh, that's funny, right? I guess I've been too busy daydreaming about my next great lesson to talk much. I've been lost in my thoughts, and now I'm the quietest person in the room. But hey, it's okay! I'm just here to learn and grow, and maybe I'll find my voice in time."
baseline,5,0.0084,0.0014,0.0106,0.0026,0.6522,0.0147,0.0014,"Oh, I'm glad she called! It's always a bit nerve-wracking to have her over, but it's also really nice to have her close. I'll make sure to tidy up a bit before she arrives. I love spending time with my boyfriend, and it's even better when she's here."
baseline,6,0.0644,0.0045,0.0142,0.0121,0.0133,0.6155,0.0365,"When my friend forgot my birthday, it felt like a slap in the face. The surprise was gone, and I felt hurt and ignored. It wasn't just a small oversight; it was a betrayal of trust. I realized then how important it is to communicate and respect each other's feelings."
baseline,7,0.0656,0.0011,0.0011,0.0012,0.0139,0.0217,0.0013,"My colleague asked for help with his work, even though he had more time than I did to finish it. It's not fair to ask for help when you have more time, especially when it's not needed. I told him that I'd be glad to help, but he should have done the work himself if he had more time. It's important to respect others' time and effort."
baseline,8,0.0175,0.0036,0.117,0.0085,0.0094,0.109,0.0023,"I heard about it through a friend, and it felt like a nightmare. It's hard to imagine someone would do such a thing, especially someone you knew. It made me question our world, the choices people make, and the consequences of our actions. I hope they find peace, but it's a heavy thought to carry."
baseline,9,0.7084,0.0139,0.0051,0.0025,0.0107,0.2773,0.008,"My brother barged in while I was trying to watch TV, munching on snacks from the kitchen. It was annoying because I couldn't focus on the show, and he didn't seem to understand that. I finally had to ask him to stop, hoping he'd get the message."
