steer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,0,0.0085,0.0034,0.7424,0.0014,0.2303,0.0268,0.0046,"I was so excited to get my driver's license, but when I tried to turn right, the car slipped and I almost crashed into the curb. I was scared and felt really stupid. Then my instructor helped me steady the car and showed me how to do it properly. It was tough, but I kept trying and eventually got it right. I feel much more confident now."
baseline,1,0.3923,0.0045,0.0305,0.0035,0.0108,0.1408,0.0091,"I told them I was going to the club, but they didn’t believe me because I showed up at the same place two days ago. I felt so confused and frustrated. I didn’t want to hurt their feelings, but I needed to tell them the truth. I just didn’t want them to think I was lying."
baseline,2,0.0377,0.0055,0.8724,0.0061,0.0142,0.2833,0.0085,"I told him I wanted more space, but he kept pushing me to stay. He's always trying to fix things, but it feels like he's not listening. I feel hurt and confused, and I don't know how to handle this anymore. I need to talk to someone, but I'm scared he'll leave me."
baseline,3,0.0071,0.0007,0.0076,0.0047,0.3992,0.01,0.0016,"I felt a mix of pride and anxiety when he said those words. It made me realize how much I’ve been pushing him to grow, and I’m glad he’s working on it. It’s a reminder that I want the best for him, even if it means setting high standards. I hope he can meet them, and I’ll be here to support him every step of the way."
baseline,4,0.0198,0.0055,0.0166,0.0106,0.0499,0.0765,0.1025,"I was surprised when the teacher said I was the quietest person in the class. It made me feel a bit awkward, like I wasn't as loud as everyone else. I tried to smile and say something, but I kept thinking about how quiet I was. Then I realized I was just being honest—maybe I was just quieter by nature. It made me appreciate the quiet moments more."
baseline,5,0.0091,0.0019,0.02,0.0029,0.4666,0.0263,0.0065,"I got a call from my mom saying she’ll be staying over. I was a bit surprised, but glad she’s okay. She brought her boyfriend, and we had a nice chat before bed. It was a little weird, but I felt relieved she was home. I made her a cup of tea and watched her sleep."
baseline,6,0.0099,0.0037,0.7567,0.0041,0.0159,0.0405,0.0033,"I was walking home when I saw a stranger jaywalking, and they almost got hit by a car. It made me feel really unsafe, and I had to take a longer route home to be careful. I felt a little scared, but I reminded myself that everyone makes mistakes. It was a small thing, but it made me think about being careful."
baseline,7,0.0336,0.0072,0.0138,0.0191,0.0136,0.4974,0.0036,"I was supposed to finish the report by noon, but my boss kept asking for updates. I tried to do it myself, but he kept pushing for more details. I ended up helping him, even though I was busy. It was stressful, but I felt bad for him. I wish I had done it on my own."
baseline,8,0.0679,0.0059,0.0134,0.0071,0.0052,1.0544,0.0105,"I never expected to see the manhole filled with something so personal. It felt like a betrayal, like the person I knew had given up on life. I tried to reach out, but they didn’t answer. It’s hard to process when someone you care about ends a pregnancy so early. I’m still trying to wrap my head around it."
baseline,9,0.2824,0.0054,0.0047,0.0009,0.0082,0.1122,0.0062,"I was watching TV in the evening when my younger brother came in and started eating from the kitchen. He didn't notice I was trying to focus on the show. I tried to tell him to stop, but he just kept eating. It was really distracting. I had to turn off the TV to get back to work."
